uniqueID,site,plot,quad,ind,emerg.date,phen.1,itero.per?,date.1,stem.diam.1,height.1,total.branch.1,longest.leaf.1,buds_08.08.2017,flrs_08.08.2017,fruits_08.08.2017,longest.fruit.1,herb_08.08.2017,phen.2,date.2,stem.diam.2,height.2,total.branch.2,longest.leaf.2,buds_14.08.2017,flrs_14.08.2017,fruits_14.08.2017,longest.fruit.2,herb_14.08.2017,phen.3,date.3,stem.diam.3,height.3,total.branch.3,longest.leaf.3,buds_21.08.2017,flrs_21.08.2017,fruits_21.08.2017,longest.fruit.3,herb_21.08.2017,ind,phen.4,date.4,stem.diam.4,height.4,total.branch.4,longest.leaf.4,buds_28.08.2017,flrs_28.08.2017,fruits_28.08.2017,longest.fruit.4,herb_28.08.2017,date.5,phen.5,stem.diam.5,height.5,total.branch.5,longest.leaf.5,buds_03.09.2017,flrs_03.09.2017,fruits_03.09.2017,longest.fruit.5,herb_03.09.2017,date.6,phen.6,stem.diam6,height.6,total.branch.6,longest.leaf.6,buds_11.09.2017,flrs_11.09.2017,fruits_11.09.2017,longest.fruit.6,herb_11.09.2017,date.7,phen.7,stem.diam.7,height.7,total.branch.7,longest.leaf.7,buds_18.09.2017,flrs_18.09.2017,fruits_18.09.2017,longest.fruit.7,herb_18.09.2017,date.8,phen.8,stem.diam.8,height.8,total.branch.8,longest.leaf.8,buds_30.09.2017,flrs_30.09.2017,fruits_30.09.2017,longest.fruit.8,canopy.width.8,herb_30.09.2017
LVTR2.5 PNA QNA #11,LVTR2.5,NA,NA,11,(8/9/17),SX,N,8/9/17,1.64,10,1,NA,NA,NA,3,4.7,NA,SX,8/15/17,1.64,10,1,NA,NA,NA,3,4.7,NA,SX,8/21/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,SX,8/28/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/2/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/11/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/30/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
LVTR2.5 PNA QNA #12,LVTR2.5,NA,NA,12,(8/9/17),SX,N,8/9/17,1.99,18.4,1,NA,NA,NA,5,5.7,NA,SX,8/15/17,1.99,18.4,1,NA,NA,NA,5,5.7,NA,SX,8/21/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,SX,8/28/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/2/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/11/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/30/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LVTR2.5 PNA QNA #13,LVTR2.5,NA,NA,13,(8/9/17),SX,N,8/9/17,1.83,12,3,NA,NA,NA,8,4.6,NA,S,8/15/17,1.83,12,3,NA,NA,NA,8,4.6,NA,SX,8/21/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,SX,8/28/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/2/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/11/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/30/17,F,0.9,11,6,4,2,2,0,NA,0.9,NA
LVTR2.5 PNA QNA #14,LVTR2.5,NA,NA,14,(8/9/17),SX,N,8/9/17,4.08,15.5,5,NA,NA,NA,23,5.2,2,S,8/15/17,4.08,15.5,5,NA,NA,NA,23,5.2,NA,SX,8/21/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,SX,8/28/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/2/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/11/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/30/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LVTR2.5 PNA QNA #15,LVTR2.5,NA,NA,15,(8/9/17),SX,N,8/9/17,1.66,13.5,2,NA,NA,NA,4,5,NA,S,8/15/17,1.66,13.5,2,NA,NA,NA,4,5,NA,SX,8/21/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,SX,8/28/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/2/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/11/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/30/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LVTR2.5 PNA QNA #16,LVTR2.5,NA,NA,16,(8/9/17),SX,N,8/9/17,1.98,12,1,NA,NA,NA,5,4.7,NA,SX,8/15/17,1.98,12,1,NA,NA,NA,5,4.7,NA,SX,8/21/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,SX,8/28/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/2/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/11/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/30/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LVTR2.5 PNA QNA #17,LVTR2.5,NA,NA,17,(8/9/17),SX,N,8/9/17,2.51,11.5,4,NA,NA,NA,9,5.6,NA,SX,8/15/17,2.51,11.5,4,NA,NA,NA,9,5.6,NA,SX,8/21/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,SX,8/28/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/2/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/11/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/30/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LVTR2.5 PNA QNA #18,LVTR2.5,NA,NA,18,(8/9/17),V,N,8/9/17,1.75,4,1,1.1,NA,NA,NA,NA,NA,V,8/15/17,1.75,4,1,1.1,NA,NA,NA,NA,NA,V,8/21/17,1.75,4,1,1.1,NA,NA,NA,NA,NA,18,V,8/28/17,1.75,4,1,1.1,NA,NA,NA,NA,NA,9/2/17,V,2,4,1,1.1,NA,NA,NA,NA,NA,9/11/17,V,2,4,1,1.1,NA,NA,NA,NA,NA,9/18/17,V,2,4,1,1.1,NA,NA,NA,NA,NA,9/30/17,V,2.4,3.3,1,1,NA,NA,NA,NA,1.4,1
LVTR2.5 PNA QNA #19,LVTR2.5,NA,NA,19,(8/9/17),V,N,8/9/17,1.5,3.5,1,0.6,NA,NA,NA,NA,NA,V,8/15/17,1.52,3.5,1,0.6,NA,NA,NA,NA,NA,V,8/21/17,1.52,3.5,1,0.6,NA,NA,NA,NA,NA,19,V,8/28/17,1.52,3.5,1,0.6,NA,NA,NA,NA,NA,9/2/17,V,1.52,3.5,1,0.6,NA,NA,NA,NA,NA,9/11/17,V,1.52,3.5,1,0.6,NA,NA,NA,NA,NA,9/18/17,V,1.52,3.5,1,0.6,NA,NA,NA,NA,NA,9/30/17,V,1.44,2.1,1,0.4,NA,NA,NA,NA,1,NA
LVTR2.5 PNA QNA #20,LVTR2.5,NA,NA,20,(8/9/17),V,N,8/9/17,1.67,3.3,1,0.5,NA,NA,NA,NA,NA,V,8/15/17,1.67,3.3,1,0.5,NA,NA,NA,NA,NA,V,8/21/17,1.67,3.3,1,0.5,NA,NA,NA,NA,NA,20,V,8/28/17,1.67,3.3,1,0.5,NA,NA,NA,NA,NA,9/2/17,V,1.67,3.3,1,0.5,NA,NA,NA,NA,NA,9/11/17,V,1.67,3.3,1,0.5,NA,NA,NA,NA,NA,9/18/17,V,1.67,3.3,1,0.5,NA,NA,NA,NA,NA,9/30/17,V,2.71,4.1,1,0.4,NA,NA,NA,NA,0.7,NA
LVTR2.5 PNA QNA #21,LVTR2.5,NA,NA,21,(8/9/17),V,N,8/9/17,1.58,5.2,1,0.6,NA,NA,NA,NA,NA,V,8/15/17,1.58,5.2,1,0.6,NA,NA,NA,NA,NA,V,8/21/17,1.58,5.2,1,0.6,NA,NA,NA,NA,NA,21,V,8/28/17,1.58,5.2,1,0.6,NA,NA,NA,NA,NA,9/2/17,V,1.58,5.2,1,0.6,NA,NA,NA,NA,NA,9/11/17,V,1.58,5.2,1,0.6,NA,NA,NA,NA,NA,9/18/17,V,1.58,5.2,1,0.6,NA,NA,NA,NA,NA,9/30/17,V,1.61,5.1,1,0.9,NA,NA,NA,NA,1.3,NA
LVTR2.5 PNA QNA #22,LVTR2.5,NA,NA,22,(8/9/17),SX,N,8/9/17,1.43,8.5,1,NA,NA,NA,2,4.8,NA,SX,8/15/17,1.43,8.5,1,NA,NA,NA,2,4.8,NA,SX,8/21/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,SX,8/28/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/2/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/11/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/30/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LVTR2.5 PNA QNA #23,LVTR2.5,NA,NA,23,(8/9/17),SX,N,8/9/17,2.24,14.1,1,NA,NA,NA,3,6.3,NA,SX,8/15/17,2.24,14.1,1,NA,NA,NA,3,6.3,NA,SX,8/21/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,SX,8/28/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/2/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/11/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/30/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LVTR2.5 PNA QNA #24,LVTR2.5,NA,NA,24,(8/9/17),SX,N,8/9/17,1.69,12.8,1,NA,NA,NA,3,5.6,NA,SX,8/15/17,1.69,12.8,1,NA,NA,NA,3,5.6,NA,SX,8/21/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,SX,8/28/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/2/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/11/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/30/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LVTR2.5 PNA QNA #25,LVTR2.5,NA,NA,25,(8/9/17),SX,N,8/9/17,2.52,20.8,1,NA,NA,NA,10,7.3,NA,P,8/15/17,2.52,20.8,1,NA,NA,NA,10,7.3,NA,SX,8/21/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,SX,8/28/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/2/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/11/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/30/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LVTR2 PNA QNA #1,LVTR2,NA,NA,1,(8/9/17),P,N,8/9/17,1.85,11.1,1,NA,NA,NA,4,6.9,NA,S,8/15/17,1.85,11.1,1,NA,NA,NA,4,6.9,NA,SX,8/21/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,SX,8/28/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/2/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/11/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/30/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LVTR2 PNA QNA #2,LVTR2,NA,NA,2,(8/9/17),V,N,8/9/17,1.65,2,1,1.1,NA,NA,NA,NA,NA,V,8/15/17,1.65,2,1,1.1,NA,NA,NA,NA,NA,V,8/21/17,1.65,2.3,1,1.1,NA,NA,NA,NA,NA,2,V,8/28/17,1.65,2.3,1,1.1,NA,NA,NA,NA,1,9/2/17,V,1.83,2.3,1,1.1,NA,NA,NA,NA,NA,9/11/17,V,1.83,2.3,1,1.1,NA,NA,NA,NA,NA,9/18/17,V,1.83,2.3,1,1.1,NA,NA,NA,NA,NA,9/30/17,V,2.49,2.4,1,1.2,NA,NA,NA,NA,2.5,NA
LVTR2 PNA QNA #3,LVTR2,NA,NA,3,(8/9/17),V,N,8/9/17,1.27,4,1,0.6,NA,NA,NA,NA,NA,V,8/15/17,1.27,4,1,0.6,NA,NA,NA,NA,NA,V,8/21/17,1.27,4,1,0.6,NA,NA,NA,NA,1,3,V,8/28/17,1.27,4,1,0.6,NA,NA,NA,NA,1,9/2/17,V,1.27,4,1,0.6,NA,NA,NA,NA,NA,9/11/17,V,1.27,4,1,0.6,NA,NA,NA,NA,NA,9/18/17,V,1.27,4,1,0.6,NA,NA,NA,NA,NA,9/30/17,SX/X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LVTR2 PNA QNA #4,LVTR2,NA,NA,4,(8/9/17),V,N,8/9/17,3.16,3,1,0.9,NA,NA,NA,NA,NA,V,8/15/17,3.16,3,1,0.9,NA,NA,NA,NA,NA,V,8/21/17,3.16,3,1,0.9,NA,NA,NA,NA,1,4,V,8/28/17,3.16,3,1,0.9,NA,NA,NA,NA,1,9/2/17,V,3.58,3,1,0.9,NA,NA,NA,NA,NA,9/11/17,V,3.58,3,1,0.9,NA,NA,NA,NA,NA,9/18/17,V,3.58,3,1,0.9,NA,NA,NA,NA,NA,9/30/17,V,2.3,2.2,1,1,NA,NA,NA,NA,1.6,NA
LVTR2 PNA QNA #5,LVTR2,NA,NA,5,(8/9/17),V,N,8/9/17,0.75,1.2,1,0.4,NA,NA,NA,NA,NA,V,8/15/17,0.75,1.2,1,0.4,NA,NA,NA,NA,NA,V,8/21/17,0.75,4,1,0.4,NA,NA,NA,NA,1,5,V,8/28/17,0.75,4,1,0.4,NA,NA,NA,NA,1,9/2/17,V,0.75,4,1,0.4,NA,NA,NA,NA,NA,9/11/17,V,0.75,4,1,0.4,NA,NA,NA,NA,NA,9/18/17,V,0.75,4,1,0.4,NA,NA,NA,NA,NA,9/30/17,V,0.86,4.5,1,1.1,NA,NA,NA,NA,1.6,1
LVTR2 PNA QNA #6,LVTR2,NA,NA,6,(8/9/17),V,N,8/9/17,1.84,4.3,1,0.2,NA,NA,NA,NA,NA,V,8/15/17,1.84,4.3,1,0.2,NA,NA,NA,NA,NA,V,8/21/17,1.84,4.3,1,0.2,NA,NA,NA,NA,1,6,V,8/28/17,1.84,5,1,0.2,NA,NA,NA,NA,1,9/2/17,V,2.66,5,1,0.2,NA,NA,NA,NA,NA,9/11/17,V,2.66,5,1,0.2,NA,NA,NA,NA,NA,9/18/17,V,2.66,5,1,0.2,NA,NA,NA,NA,NA,9/30/17,V,2.05,5.5,3,1.9,NA,NA,NA,NA,3.1,NA
LVTR2 PNA QNA #7,LVTR2,NA,NA,7,(8/9/17),V,N,8/9/17,1.74,3.2,1,1.1,NA,NA,NA,NA,NA,V,8/15/17,1.74,3.2,1,1.1,NA,NA,NA,NA,NA,V,8/21/17,1.74,3.2,1,1.1,NA,NA,NA,NA,1,7,V,8/28/17,1.74,3.2,1,1.1,NA,NA,NA,NA,1,9/2/17,V,1.74,3.2,1,1.1,NA,NA,NA,NA,NA,9/11/17,V,1.74,3.2,1,0.1,NA,NA,NA,NA,NA,9/18/17,V,1.74,3.2,1,1.1,NA,NA,NA,NA,NA,9/30/17,V,2.15,3.8,1,1.6,NA,NA,NA,NA,2.6,1
LVTR2 PNA QNA #8,LVTR2,NA,NA,8,(8/9/17),P,N,8/9/17,2.38,9.5,2,NA,NA,NA,2,3.5,NA,P,8/15/17,2.38,9.5,2,NA,NA,NA,2,3.5,NA,P,8/21/17,2.85,9.5,4,NA,0,0,2,3.5,NA,8,P,8/28/17,2.85,9.5,4,NA,0,0,2,3.5,2,9/2/17,P,2.85,9.5,4,NA,NA,NA,NA,NA,NA,9/11/17,P,3,10.2,4,NA,NA,NA,NA,NA,NA,9/18/17,P/V,3,10.2,4,NA,NA,NA,NA,NA,2,9/30/17,P,3.41,11.5,4,NA,0,0,0,NA,NA,1
LVTR2 PNA QNA #9,LVTR2,NA,NA,9,(8/9/17),V,N,8/9/17,0.85,5.8,1,2.1,NA,NA,NA,NA,NA,V,8/15/17,0.85,5.8,1,2.1,NA,NA,NA,NA,NA,V,8/21/17,1,4,1,2.1,NA,NA,NA,NA,2,9,V,8/28/17,1,2.6,1,NA,NA,NA,NA,NA,NA,9/2/17,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/11/17,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/17,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/30/17,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LVTR2 PNA QNA #10,LVTR2,NA,NA,10,(8/9/17),S,N,8/9/17,1.65,12.5,1,NA,NA,NA,3,5.7,NA,S,8/15/17,1.65,12.5,1,NA,NA,NA,3,5.7,NA,SX,8/21/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,SX,8/28/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/2/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/11/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/30/17,V,1.81,13,(2VB),1,NA,NA,NA,NA,1.4,NA
LVTR2 PNA QNA #11,LVTR2,NA,NA,11,(8/9/17),V,N,8/9/17,0.82,2.6,1,1.1,NA,NA,NA,NA,NA,V,8/15/17,0.82,2.6,1,1.1,NA,NA,NA,NA,NA,V,8/21/17,0.82,2.6,1,1.1,NA,NA,NA,NA,2,11,V,8/28/17,0.82,5.5,1,2.2,NA,NA,NA,NA,NA,9/2/17,V,0.82,5.5,1,2.2,NA,NA,NA,NA,NA,9/11/17,V,0.82,5.5,1,2.2,NA,NA,NA,NA,NA,9/18/17,V,0.82,5.5,1,2.2,NA,NA,NA,NA,NA,9/30/17,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LVTR2 PNA QNA #12,LVTR2,NA,NA,12,(8/9/17),S,N,8/9/17,2.1,23.2,3,NA,NA,NA,2,4.9,NA,S,8/15/17,2.1,23.2,3,NA,NA,NA,2,4.9,NA,SX,8/21/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,SX,8/28/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/2/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/11/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/30/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
