"","uniqueID","site","plot","quad","ind","emerg.date","phen.1","itero.per.","date.1","stem.diam.1","height.1","total.branch.1","longest.leaf.1","buds_08.08.2017","flrs_08.08.2017","fruits_08.08.2017","longest.fruit.1","phen.2","date.2","stem.diam.2","height.2","total.branch.2","longest.leaf.2","buds_14.08.2017","flrs_14.08.2017","fruits_14.08.2017","longest.fruit.2","phen.3","date.3","stem.diam.3","height.3","total.branch.3","longest.leaf.3","buds_21.08.2017","flrs_21.08.2017","fruits_21.08.2017","longest.fruit.3","phen.4","date.4","stem.diam.4","height.4","total.branch.4","longest.leaf.4","buds_28.08.2017","flrs_28.08.2017","fruits_28.08.2017","longest.fruit.4","date.5","phen.5","stem.diam.5","height.5","total.branch.5","longest.leaf.5","buds_03.09.2017","flrs_03.09.2017","fruits_03.09.2017","longest.fruit.5","date.8","phen.8","stem.diam.8","height.8","total.branch.8","longest.leaf.8","buds_30.09.2017","flrs_30.09.2017","fruits_30.09.2017","longest.fruit.8","canopy.width.8","date.6","phen.6","stem.diam6","height.6","total.branch.6","longest.leaf.6","buds.8","flrs.6","fruits.6","longest.fruit.6","notes.6","protocol.notes.6","uniqueID_6","matches.","date.7","phen.7","stem.diam.7","height.7","total.branch.7","longest.leaf.7","buds.7","flrs.7","fruits.7","longest.fruit.7","notes.7"
"11","LV1 P1 QNA #16","LV1",1,NA,"16","(8/9/17)","D","N","8/9/17",NA,NA,NA,NA,0,0,0,NA,"D","8/15/17",NA,NA,NA,NA,0,0,0,NA,"D","8/22/17",NA,NA,NA,NA,0,0,0,NA,"D","8/29/17",NA,NA,NA,NA,0,0,0,NA,"9/3/17","D",NA,NA,NA,NA,0,0,0,NA,"9/30/17","D",NA,NA,NA,NA,0,0,0,NA,NA,"9/12/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LV1 P1 QNA #16","Y","9/19/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","LV1 P1 QNA #17","LV1",1,NA,"17","(8/9/17)","D","N","8/9/17",NA,NA,NA,NA,0,0,0,NA,"D","8/15/17",NA,NA,NA,NA,0,0,0,NA,"D","8/22/17",NA,NA,NA,NA,0,0,0,NA,"D","8/29/17",NA,NA,NA,NA,0,0,0,NA,"9/3/17","D",NA,NA,NA,NA,0,0,0,NA,"9/30/17","D",NA,NA,NA,NA,0,0,0,NA,NA,"9/12/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LV1 P1 QNA #17","Y","9/19/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","LV1 P1 QNA #18","LV1",1,NA,"18","(8/9/17)","D","N","8/9/17",NA,NA,NA,NA,0,0,0,NA,"D","8/15/17",NA,NA,NA,NA,0,0,0,NA,"D","8/22/17",NA,NA,NA,NA,0,0,0,NA,"D","8/29/17",NA,NA,NA,NA,0,0,0,NA,"9/3/17","D",NA,NA,NA,NA,0,0,0,NA,"9/30/17","D",NA,NA,NA,NA,0,0,0,NA,NA,"9/12/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LV1 P1 QNA #18","Y","9/19/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","LV1 P1 QNA #19","LV1",1,NA,"19","(8/9/17)","D","N","8/9/17",NA,NA,NA,NA,0,0,0,NA,"D","8/15/17",NA,NA,NA,NA,0,0,0,NA,"D","8/22/17",NA,NA,NA,NA,0,0,0,NA,"D","8/29/17",NA,NA,NA,NA,0,0,0,NA,"9/3/17","D",NA,NA,NA,NA,0,0,0,NA,"9/30/17","D",NA,NA,NA,NA,0,0,0,NA,NA,"9/12/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LV1 P1 QNA #19","Y","9/19/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","LV1 P1 QNA #19-1","LV1",1,NA,"19-1","(8/29/2017)",NA,NA,"8/9/17",NA,NA,NA,NA,0,0,0,NA,NA,"8/15/17",NA,NA,NA,NA,0,0,0,NA,NA,"8/22/17",NA,NA,NA,NA,0,0,0,NA,"V","8/29/17","1.3",1.8,1,1,0,0,0,NA,"9/3/17","V",1.72,1.8,1,1.4,0,0,0,NA,"9/30/17","V",1.91,"2.1","1",1.5,0,0,0,NA,2.7,"9/12/17","6V","1.72","1.8","1","1.4",NA,NA,NA,NA,"pink flag near 19-1 : 6 small veg.",NA,"LV1 P1 QNA #19-1","Y","9/19/17","V",1.72,1.8,"1","1.4",NA,NA,NA,NA,"6 small veg near 19-1"
"16","LV1 P1 QNA #19-2","LV1",1,NA,"19-2","(8/29/2017)",NA,NA,"8/9/17",NA,NA,NA,NA,0,0,0,NA,NA,"8/15/17",NA,NA,NA,NA,0,0,0,NA,NA,"8/22/17",NA,NA,NA,NA,0,0,0,NA,"V","8/29/17","1.02",1.3,1,0.8,0,0,0,NA,"9/3/17","V",1.09,1.9,1,1,0,0,0,NA,"9/30/17","V",1.54,"1.4","1",1.5,0,0,0,NA,3.1,"9/12/17","V","1.09","1.9","1","1",NA,NA,NA,NA,NA,NA,"LV1 P1 QNA #19-2","Y","9/19/17","V",1.09,1.9,"1","1.3",NA,NA,NA,NA,NA
"17","LV1 P1 QNA #2","LV1",1,NA,"2","(8/9/17)","D","N","8/9/17",NA,NA,NA,NA,0,0,0,NA,"D","8/15/17",NA,NA,NA,NA,0,0,0,NA,"D","8/22/17",NA,NA,NA,NA,0,0,0,NA,"D","8/29/17",NA,NA,NA,NA,0,0,0,NA,"9/3/17","D",2.13,14.2,3,NA,13,8,2,0.4,"9/30/17","D",NA,NA,NA,NA,0,0,0,NA,NA,"9/12/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LV1 P1 QNA #2","Y","9/19/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","LV1 P1 QNA #20","LV1",1,NA,"20","(8/9/17)","V","N","8/9/17","0.85",1.5,1,1.4,0,0,0,NA,"V","8/15/17","0.85",1.8,1,1.4,0,0,0,NA,"V","8/22/17","0.85",1.8,1,1.4,0,0,0,NA,"V","8/29/17","0.85",1.4,1,0.4,0,0,0,NA,"9/3/17","V",1.86,2,1,1.4,0,0,0,NA,"9/30/17","V",2.14,"1.2","1",1.4,0,0,0,NA,2.8,"9/12/17","V","1.86","2","1","1.4",NA,NA,NA,NA,NA,NA,"LV1 P1 QNA #20","Y","9/19/17","V",1.86,2,"1","1.4",NA,NA,NA,NA,NA
"19","LV1 P1 QNA #20-1","LV1",1,NA,"20-1","(8/29/2017)",NA,NA,"8/9/17",NA,NA,NA,NA,0,0,0,NA,NA,"8/15/17",NA,NA,NA,NA,0,0,0,NA,NA,"8/22/17",NA,NA,NA,NA,0,0,0,NA,"F","8/29/17","1.7",11.5,2,NA,0,8,9,NA,"9/3/17","F",2.08,13,2,NA,1,7,9,4.4,"9/30/17","SX",NA,NA,NA,NA,0,0,0,NA,NA,"9/12/17","F","2.08","13","2",NA,"0","2","10","5","branch broken",NA,"LV1 P1 QNA #20-1","Y","9/19/17","P",2.08,13,"2",NA,0,0,10,5,"branch broken"
"20","LV1 P1 QNA #20-2","LV1",1,NA,"20-2","(8/29/2017)",NA,NA,"8/9/17",NA,NA,NA,NA,0,0,0,NA,NA,"8/15/17",NA,NA,NA,NA,0,0,0,NA,NA,"8/22/17",NA,NA,NA,NA,0,0,0,NA,"V","8/29/17","1.18",3,1,1,0,0,0,NA,"9/3/17","V",1.48,3,1,1,0,0,0,NA,"9/30/17","V",1.87,"3.4","1",1.5,0,0,0,NA,3.1,"9/12/17","V","1.48","3","1","1.3",NA,NA,NA,NA,NA,NA,"LV1 P1 QNA #20-2","Y","9/19/17","V",1.48,3,"1","1",NA,NA,NA,NA,NA
"21","LV1 P1 QNA #20-3","LV1",1,NA,"20-3","(8/29/2017)",NA,NA,"8/9/17",NA,NA,NA,NA,0,0,0,NA,NA,"8/15/17",NA,NA,NA,NA,0,0,0,NA,NA,"8/22/17",NA,NA,NA,NA,0,0,0,NA,"V","8/29/17","1.02",1,1,0.6,0,0,0,NA,"9/3/17","V",1.18,1.3,1,0.8,0,0,0,NA,"9/30/17","V",1.59,"1.7","1",1,0,0,0,NA,2.1,"9/12/17","V","1.18","1.3","1","0.9",NA,NA,NA,NA,NA,NA,"LV1 P1 QNA #20-3","Y","9/19/17","V",1.18,1.3,"1","0.9",NA,NA,NA,NA,NA
"22","LV1 P1 QNA #21","LV1",1,NA,"21","(8/9/17)","D","N","8/9/17",NA,NA,NA,NA,0,0,0,NA,"D","8/15/17",NA,NA,NA,NA,0,0,0,NA,"D","8/22/17",NA,NA,NA,NA,0,0,0,NA,"D","8/29/17",NA,NA,NA,NA,0,0,0,NA,"9/3/17","D",NA,NA,NA,NA,0,0,0,NA,"9/30/17","D",NA,NA,NA,NA,0,0,0,NA,NA,"9/12/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LV1 P1 QNA #21","Y","9/19/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","LV1 P1 QNA #22","LV1",1,NA,"22","(8/9/17)","D","N","8/9/17",NA,NA,NA,NA,0,0,0,NA,"D","8/15/17",NA,NA,NA,NA,0,0,0,NA,"D","8/22/17",NA,NA,NA,NA,0,0,0,NA,"D","8/29/17",NA,NA,NA,NA,0,0,0,NA,"9/3/17","D",NA,NA,NA,NA,0,0,0,NA,"9/30/17","D",NA,NA,NA,NA,0,0,0,NA,NA,"9/12/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LV1 P1 QNA #22","Y","9/19/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","LV1 P1 QNA #23","LV1",1,NA,"23","(8/9/17)","D","N","8/9/17",NA,NA,NA,NA,0,0,0,NA,"V","8/15/17","0.42",0.9,1,0.3,0,0,0,NA,"V","8/22/17","0.42",0.9,1,0.3,0,0,0,NA,"V","8/29/17","0.42",0.9,1,0.3,0,0,0,NA,"9/3/17","V",0.64,1.1,1,0.3,0,0,0,NA,"9/30/17","V",1.01,"2.5","2",0.4,0,0,0,NA,1.1,"9/12/17","V","0.64","1.1","2","0.3",NA,NA,NA,NA,NA,NA,"LV1 P1 QNA #23","Y","9/19/17","V",0.64,1.1,"1","0.3",NA,NA,NA,NA,NA
"25","LV1 P1 QNA #23-1","LV1",1,NA,"23-1","(8/29/2017)",NA,NA,"8/9/17",NA,NA,NA,NA,0,0,0,NA,NA,"8/15/17",NA,NA,NA,NA,0,0,0,NA,NA,"8/22/17",NA,NA,NA,NA,0,0,0,NA,"V","8/29/17","1.58",2.5,1,1.2,0,0,0,NA,"9/3/17","V",2.5,2.5,1,1.4,0,0,0,NA,"9/30/17","V",2.13,"1.6","1",1.5,0,0,0,NA,3.4,"9/12/17","V","2.5","2.5","1","1.4",NA,NA,NA,NA,NA,NA,"LV1 P1 QNA #23-1","Y","9/19/17","V",2.5,2.5,"1","1.4",NA,NA,NA,NA,NA
"26","LV1 P1 QNA #23-2","LV1",1,NA,"23-2","(8/29/2017)",NA,NA,"8/9/17",NA,NA,NA,NA,0,0,0,NA,NA,"8/15/17",NA,NA,NA,NA,0,0,0,NA,NA,"8/22/17",NA,NA,NA,NA,0,0,0,NA,"V","8/29/17","0.77",1.1,1,0.6,0,0,0,NA,"9/3/17","V",1.07,1.3,1,0.6,0,0,0,NA,"9/30/17","V",1.21,"1.5","1",1.1,0,0,0,NA,2.5,"9/12/17","V","1.07","1.3","1","0.6",NA,NA,NA,NA,NA,NA,"LV1 P1 QNA #23-2","Y","9/19/17","V",1.07,1.3,"1","0.6",NA,NA,NA,NA,NA
"27","LV1 P1 QNA #23-3","LV1",1,NA,"23-3","(8/29/2017)",NA,NA,"8/9/17",NA,NA,NA,NA,0,0,0,NA,NA,"8/15/17",NA,NA,NA,NA,0,0,0,NA,NA,"8/22/17",NA,NA,NA,NA,0,0,0,NA,"V","8/29/17","0.85",1.4,1,0.4,0,0,0,NA,"9/3/17","V",0.85,1.4,1,0.4,0,0,0,NA,"9/30/17","V",1.09,"1.9","2",1.7,0,0,0,NA,1.3,"9/12/17","V","0.85","1.8","2","0.5",NA,NA,NA,NA,NA,NA,"LV1 P1 QNA #23-3","Y","9/19/17","V",0.85,1.4,"1","0.4",NA,NA,NA,NA,NA
"28","LV1 P1 QNA #24","LV1",1,NA,"24","(8/9/17)","D","N","8/9/17",NA,NA,NA,NA,0,0,0,NA,"D","8/15/17",NA,NA,NA,NA,0,0,0,NA,"D","8/22/17",NA,NA,NA,NA,0,0,0,NA,"D","8/29/17",NA,NA,NA,NA,0,0,0,NA,"9/3/17","D",NA,NA,NA,NA,0,0,0,NA,"9/30/17","D",NA,NA,NA,NA,0,0,0,NA,NA,"9/12/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LV1 P1 QNA #24","Y","9/19/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","LV1 P1 QNA #24-1","LV1",1,NA,"24-1","(8/29/2017)",NA,NA,"8/9/17",NA,NA,NA,NA,0,0,0,NA,NA,"8/15/17",NA,NA,NA,NA,0,0,0,NA,NA,"8/22/17",NA,NA,NA,NA,0,0,0,NA,"V","8/29/17","1.53",0.5,1,1,0,0,0,NA,"9/3/17","V",1.53,0.9,1,1,0,0,0,NA,"9/30/17","V",1.97,"1","1",1.5,0,0,0,NA,3,"9/12/17","V","1.53","0.9","1","1",NA,NA,NA,NA,NA,NA,"LV1 P1 QNA #24-1","Y","9/19/17","V",1.53,0.9,"1","1",NA,NA,NA,NA,NA
"30","LV1 P1 QNA #24-2","LV1",1,NA,"24-2","(8/29/2017)",NA,NA,"8/9/17",NA,NA,NA,NA,0,0,0,NA,NA,"8/15/17",NA,NA,NA,NA,0,0,0,NA,NA,"8/22/17",NA,NA,NA,NA,0,0,0,NA,"V","8/29/17","2",1.3,1,1.2,0,0,0,NA,"9/3/17","V",2,2.6,1,1.5,0,0,0,NA,"9/30/17","V",2.49,"2.4","1",1.5,0,0,0,NA,3.3,"9/12/17","V","2","2.6","1","1.5",NA,NA,NA,NA,NA,NA,"LV1 P1 QNA #24-2","Y","9/19/17","V",2,2.6,"1","1.5",NA,NA,NA,NA,NA
"31","LV1 P1 QNA #24-3","LV1",1,NA,"24-3","(8/29/2017)",NA,NA,"8/9/17",NA,NA,NA,NA,0,0,0,NA,NA,"8/15/17",NA,NA,NA,NA,0,0,0,NA,NA,"8/22/17",NA,NA,NA,NA,0,0,0,NA,"V","8/29/17","1.15",3,1,0.9,0,0,0,NA,"9/3/17","V",1.15,3,1,0.9,0,0,0,NA,"9/30/17","V",1.51,"3","2",1,0,0,0,NA,2.2,"9/12/17","V","1.15","3","1","0.9",NA,NA,NA,NA,NA,NA,"LV1 P1 QNA #24-3","Y","9/19/17","V",1.15,3,"1","0.9",NA,NA,NA,NA,NA
"32","LV1 P1 QNA #24-4","LV1",1,NA,"24-4","(8/29/2017)",NA,NA,"8/9/17",NA,NA,NA,NA,0,0,0,NA,NA,"8/15/17",NA,NA,NA,NA,0,0,0,NA,NA,"8/22/17",NA,NA,NA,NA,0,0,0,NA,"V","8/29/17","1.14",1.7,1,1.1,0,0,0,NA,"9/3/17","V",1.14,2.4,1,1.1,0,0,0,NA,"9/30/17","V",1.7,"1.7","1",1.5,0,0,0,NA,2.8,"9/12/17","V","1.14","2.4","1","1.1",NA,NA,NA,NA,NA,NA,"LV1 P1 QNA #24-4","Y","9/19/17","V",1.14,2.4,"1","1.1",NA,NA,NA,NA,NA
"33","LV1 P1 QNA #24-5","LV1",1,NA,"24-5","(8/29/2017)",NA,NA,"8/9/17",NA,NA,NA,NA,0,0,0,NA,NA,"8/15/17",NA,NA,NA,NA,0,0,0,NA,NA,"8/22/17",NA,NA,NA,NA,0,0,0,NA,"P","8/29/17","1.52",3,1,NA,0,0,1,0.4,"9/3/17","P",1.79,6,1,NA,0,0,1,3.7,"9/30/17","S",2.06,"4.6","3",1.5,0,0,1,"5",2.1,"9/12/17","P","1.79","6","1",NA,"0","0","1","5.2",NA,NA,"LV1 P1 QNA #24-5","Y","9/19/17","P",1.79,6,"4",NA,0,0,1,5.2,"3 VB"
"34","LV1 P1 QNA #24-6","LV1",1,NA,"24-6","(8/29/2017)",NA,NA,"8/9/17",NA,NA,NA,NA,0,0,0,NA,NA,"8/15/17",NA,NA,NA,NA,0,0,0,NA,NA,"8/22/17",NA,NA,NA,NA,0,0,0,NA,"V","8/29/17","1.45",2.6,1,1.2,0,0,0,NA,"9/3/17","V",1.45,2.6,1,1.2,0,0,0,NA,"9/30/17","V",1.68,"3.4","1",2,0,0,0,NA,3.4,"9/12/17","V","1.45","2.6","1","1.2",NA,NA,NA,NA,NA,NA,"LV1 P1 QNA #24-6","Y","9/19/17","V",1.45,2.6,"1","2",NA,NA,NA,NA,"herb"
"35","LV1 P1 QNA #25","LV1",1,NA,"25","(8/9/17)","D","N","8/9/17",NA,NA,NA,NA,0,0,0,NA,"D","8/15/17",NA,NA,NA,NA,0,0,0,NA,"D","8/22/17",NA,NA,NA,NA,0,0,0,NA,"D","8/29/17",NA,NA,NA,NA,0,0,0,NA,"9/3/17","D",NA,NA,NA,NA,0,0,0,NA,"9/30/17","D",NA,NA,NA,NA,0,0,0,NA,NA,"9/12/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LV1 P1 QNA #25","Y","9/19/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","LV1 P1 QNA #26","LV1",1,NA,"26","(8/9/17)","D","N","8/9/17",NA,NA,NA,NA,0,0,0,NA,"D","8/15/17",NA,NA,NA,NA,0,0,0,NA,"D","8/22/17",NA,NA,NA,NA,0,0,0,NA,"D","8/29/17",NA,NA,NA,NA,0,0,0,NA,"9/3/17","D",NA,NA,NA,NA,0,0,0,NA,"9/30/17","D",NA,NA,NA,NA,0,0,0,NA,NA,"9/12/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LV1 P1 QNA #26","Y","9/19/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","LV1 P1 QNA #27","LV1",1,NA,"27","(8/9/17)","D","N","8/9/17",NA,NA,NA,NA,0,0,0,NA,"D","8/15/17",NA,NA,NA,NA,0,0,0,NA,"D","8/22/17",NA,NA,NA,NA,0,0,0,NA,"D","8/29/17",NA,NA,NA,NA,0,0,0,NA,"9/3/17","D",NA,NA,NA,NA,0,0,0,NA,"9/30/17","D",NA,NA,NA,NA,0,0,0,NA,NA,"9/12/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LV1 P1 QNA #27","Y","9/19/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","LV1 P1 QNA #28","LV1",1,NA,"28","(8/9/17)","D","N","8/9/17",NA,NA,NA,NA,0,0,0,NA,"D","8/15/17",NA,NA,NA,NA,0,0,0,NA,"D","8/22/17",NA,NA,NA,NA,0,0,0,NA,"D","8/29/17",NA,NA,NA,NA,0,0,0,NA,"9/3/17","D",NA,NA,NA,NA,0,0,0,NA,"9/30/17","D",NA,NA,NA,NA,0,0,0,NA,NA,"9/12/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LV1 P1 QNA #28","Y","9/19/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","LV1 P1 QNA #29","LV1",1,NA,"29","(8/9/17)","D","N","8/9/17",NA,NA,NA,NA,0,0,0,NA,"D","8/15/17",NA,NA,NA,NA,0,0,0,NA,"D","8/22/17",NA,NA,NA,NA,0,0,0,NA,"D","8/29/17",NA,NA,NA,NA,0,0,0,NA,"9/3/17","D",NA,NA,NA,NA,0,0,0,NA,"9/30/17","D",NA,NA,NA,NA,0,0,0,NA,NA,"9/12/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LV1 P1 QNA #29","Y","9/19/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA
