,uniqueID,site,plot,quad,date,ind,buds,flrs,fruits,herb,melt_date
39,LV1 P1 QNA #19-1-1,LV1,1,NA,7/18/18,19-1-1,NA,NA,NA,0,6/20/18
272,LV1 P1 QNA #43-3,LV1,1,NA,7/10/18,43-3,7,NA,NA,1,6/20/18
41,LV1 P1 QNA #19-1-1,LV1,1,NA,8/5/18,19-1-1,NA,NA,NA,0,6/20/18
42,LV1 P1 QNA #19-1-1,LV1,1,NA,8/27/18,19-1-1,NA,NA,NA,0,6/20/18
43,LV1 P1 QNA #19-1-2,LV1,1,NA,7/1/18,19-1-2,NA,NA,NA,0,6/20/18
44,LV1 P1 QNA #19-1-2,LV1,1,NA,7/10/18,19-1-2,8,NA,NA,0,6/20/18
45,LV1 P1 QNA #19-1-2,LV1,1,NA,7/18/18,19-1-2,4,2,2,0,6/20/18
46,LV1 P1 QNA #19-1-2,LV1,1,NA,7/27/18,19-1-2,NA,NA,2,NA,6/20/18
47,LV1 P1 QNA #19-1-2,LV1,1,NA,8/5/18,19-1-2,0,0,2,0,6/20/18
48,LV1 P1 QNA #19-1-2,LV1,1,NA,8/27/18,19-1-2,NA,NA,NA,0,6/20/18
49,LV1 P1 QNA #19-1-3,LV1,1,NA,7/1/18,19-1-3,NA,NA,NA,0,6/20/18
314,LV1 P2 QNA #0-12,LV1,2,NA,7/10/18,0-12,NA,NA,NA,1,6/20/18
374,LV1 P2 QNA #0-9-1,LV1,2,NA,7/10/18,0-9-1,13,NA,NA,1,6/20/18
52,LV1 P1 QNA #19-1-3,LV1,1,NA,7/27/18,19-1-3,NA,NA,2,NA,6/20/18
53,LV1 P1 QNA #19-1-3,LV1,1,NA,8/5/18,19-1-3,0,0,2,0,6/20/18
54,LV1 P1 QNA #19-1-3,LV1,1,NA,8/27/18,19-1-3,NA,NA,NA,0,6/20/18
55,LV1 P1 QNA #19-1-4,LV1,1,NA,7/1/18,19-1-4,NA,NA,NA,0,6/20/18
56,LV1 P1 QNA #19-1-4,LV1,1,NA,7/10/18,19-1-4,NA,NA,NA,0,6/20/18
57,LV1 P1 QNA #19-1-4,LV1,1,NA,7/18/18,19-1-4,NA,NA,NA,0,6/20/18
58,LV1 P1 QNA #19-1-4,LV1,1,NA,7/27/18,19-1-4,NA,NA,NA,NA,6/20/18
59,LV1 P1 QNA #19-1-4,LV1,1,NA,8/5/18,19-1-4,NA,NA,NA,0,6/20/18
440,LV1 P2 QNA #15-1,LV1,2,NA,7/10/18,15-1,NA,NA,NA,1,6/20/18
61,LV1 P1 QNA #19-1-5,LV1,1,NA,7/1/18,19-1-5,NA,NA,NA,0,6/20/18
62,LV1 P1 QNA #19-1-5,LV1,1,NA,7/10/18,19-1-5,5,NA,NA,0,6/20/18
63,LV1 P1 QNA #19-1-5,LV1,1,NA,7/18/18,19-1-5,6,NA,NA,0,6/20/18
64,LV1 P1 QNA #19-1-5,LV1,1,NA,7/27/18,19-1-5,NA,NA,2,NA,6/20/18
65,LV1 P1 QNA #19-1-5,LV1,1,NA,8/5/18,19-1-5,0,0,2,0,6/20/18
66,LV1 P1 QNA #19-1-5,LV1,1,NA,8/27/18,19-1-5,NA,NA,2,0,6/20/18
67,LV1 P1 QNA #19-2,LV1,1,NA,7/1/18,19-2,10,0,0,0,6/20/18
68,LV1 P1 QNA #19-2,LV1,1,NA,7/10/18,19-2,37,1,NA,0,6/20/18
69,LV1 P1 QNA #19-2,LV1,1,NA,7/18/18,19-2,11,16,19,0,6/20/18
536,LV1 P2 QNA #3-2,LV1,2,NA,7/10/18,2-Mar,14,NA,NA,1,6/20/18
1028,LV3 P1 QNA #80,LV3,1,NA,7/10/18,80,NA,NA,NA,1,5/17/18
72,LV1 P1 QNA #19-2,LV1,1,NA,8/27/18,19-2,NA,NA,11,0,6/20/18
73,LV1 P1 QNA #19-3,LV1,1,NA,7/1/18,19-3,NA,NA,NA,0,6/20/18
74,LV1 P1 QNA #19-3,LV1,1,NA,7/10/18,19-3,NA,NA,NA,0,6/20/18
75,LV1 P1 QNA #19-3,LV1,1,NA,7/18/18,19-3,NA,NA,NA,0,6/20/18
76,LV1 P1 QNA #19-3,LV1,1,NA,7/27/18,19-3,NA,NA,NA,NA,6/20/18
77,LV1 P1 QNA #19-3,LV1,1,NA,8/5/18,19-3,NA,NA,NA,0,6/20/18
78,LV1 P1 QNA #19-3,LV1,1,NA,8/27/18,19-3,NA,NA,NA,0,6/20/18
79,LV1 P1 QNA #19-4,LV1,1,NA,7/1/18,19-4,NA,NA,NA,0,6/20/18
80,LV1 P1 QNA #19-4,LV1,1,NA,7/10/18,19-4,11,NA,NA,0,6/20/18
81,LV1 P1 QNA #19-4,LV1,1,NA,7/18/18,19-4,4,4,6,0,6/20/18
82,LV1 P1 QNA #19-4,LV1,1,NA,7/27/18,19-4,NA,NA,5,NA,6/20/18
83,LV1 P1 QNA #19-4,LV1,1,NA,8/5/18,19-4,0,0,5,0,6/20/18
84,LV1 P1 QNA #19-4,LV1,1,NA,8/27/18,19-4,NA,NA,NA,0,6/20/18
85,LV1 P1 QNA #19-5,LV1,1,NA,7/1/18,19-5,NA,NA,NA,0,6/20/18
86,LV1 P1 QNA #19-5,LV1,1,NA,7/10/18,19-5,NA,NA,NA,0,6/20/18
87,LV1 P1 QNA #19-5,LV1,1,NA,7/18/18,19-5,NA,NA,NA,0,6/20/18
88,LV1 P1 QNA #19-5,LV1,1,NA,7/27/18,19-5,NA,NA,NA,NA,6/20/18
89,LV1 P1 QNA #19-5,LV1,1,NA,8/5/18,19-5,NA,NA,NA,0,6/20/18
90,LV1 P1 QNA #19-5,LV1,1,NA,8/27/18,19-5,NA,NA,NA,0,6/20/18
91,LV1 P1 QNA #19-6,LV1,1,NA,7/1/18,19-6,NA,NA,NA,0,6/20/18
92,LV1 P1 QNA #19-6,LV1,1,NA,7/10/18,19-6,13,3,NA,0,6/20/18
93,LV1 P1 QNA #19-6,LV1,1,NA,7/18/18,19-6,5,6,9,0,6/20/18
94,LV1 P1 QNA #19-6,LV1,1,NA,7/27/18,19-6,NA,NA,7,NA,6/20/18
95,LV1 P1 QNA #19-6,LV1,1,NA,8/5/18,19-6,0,0,7,0,6/20/18
96,LV1 P1 QNA #19-6,LV1,1,NA,8/27/18,19-6,NA,NA,NA,0,6/20/18
97,LV1 P1 QNA #19-7,LV1,1,NA,7/1/18,19-7,NA,NA,NA,0,6/20/18
98,LV1 P1 QNA #19-7,LV1,1,NA,7/10/18,19-7,14,NA,NA,0,6/20/18
99,LV1 P1 QNA #19-7,LV1,1,NA,7/18/18,19-7,5,5,7,0,6/20/18
100,LV1 P1 QNA #19-7,LV1,1,NA,7/27/18,19-7,NA,NA,7,NA,6/20/18
101,LV1 P1 QNA #19-7,LV1,1,NA,8/5/18,19-7,0,0,7,0,6/20/18
102,LV1 P1 QNA #19-7,LV1,1,NA,8/27/18,19-7,NA,NA,NA,0,6/20/18
103,LV1 P1 QNA #21-1,LV1,1,NA,7/1/18,21-1,NA,NA,NA,0,6/20/18
104,LV1 P1 QNA #21-1,LV1,1,NA,7/10/18,21-1,12,2,NA,0,6/20/18
105,LV1 P1 QNA #21-1,LV1,1,NA,7/18/18,21-1,5,6,9,0,6/20/18
106,LV1 P1 QNA #21-1,LV1,1,NA,7/27/18,21-1,NA,NA,8,NA,6/20/18
107,LV1 P1 QNA #21-1,LV1,1,NA,8/5/18,21-1,0,0,8,0,6/20/18
108,LV1 P1 QNA #21-1,LV1,1,NA,8/27/18,21-1,NA,NA,NA,0,6/20/18
109,LV1 P1 QNA #23-1,LV1,1,NA,7/1/18,23-1,NA,NA,NA,0,6/20/18
110,LV1 P1 QNA #23-1,LV1,1,NA,7/10/18,23-1,NA,NA,NA,NA,6/20/18
111,LV1 P1 QNA #23-1,LV1,1,NA,7/18/18,23-1,NA,NA,NA,0,6/20/18
112,LV1 P1 QNA #23-1,LV1,1,NA,7/27/18,23-1,NA,NA,NA,NA,6/20/18
113,LV1 P1 QNA #23-1,LV1,1,NA,8/5/18,23-1,NA,NA,NA,0,6/20/18
114,LV1 P1 QNA #23-1,LV1,1,NA,8/27/18,23-1,NA,NA,NA,0,6/20/18
115,LV1 P1 QNA #23-2,LV1,1,NA,7/1/18,23-2,8,0,0,0,6/20/18
116,LV1 P1 QNA #23-2,LV1,1,NA,7/10/18,23-2,12,3,NA,0,6/20/18
117,LV1 P1 QNA #23-2,LV1,1,NA,7/18/18,23-2,4,6,8,0,6/20/18
118,LV1 P1 QNA #23-2,LV1,1,NA,7/27/18,23-2,NA,NA,7,NA,6/20/18
119,LV1 P1 QNA #23-2,LV1,1,NA,8/5/18,23-2,0,0,7,0,6/20/18
120,LV1 P1 QNA #23-2,LV1,1,NA,8/27/18,23-2,NA,NA,NA,0,6/20/18
121,LV1 P1 QNA #23-3,LV1,1,NA,7/1/18,23-3,8,0,0,0,6/20/18
122,LV1 P1 QNA #23-3,LV1,1,NA,7/10/18,23-3,10,NA,NA,0,6/20/18
123,LV1 P1 QNA #23-3,LV1,1,NA,7/18/18,23-3,5,2,NA,0,6/20/18
1064,LV3 P1 QNA #86,LV3,1,NA,7/10/18,86,NA,NA,NA,1,5/17/18
125,LV1 P1 QNA #23-3,LV1,1,NA,8/5/18,23-3,0,0,0,0,6/20/18
1088,LV3 P1 QNA #90,LV3,1,NA,7/10/18,90,NA,NA,NA,1,5/17/18
127,LV1 P1 QNA #24-1-1,LV1,1,NA,7/1/18,24-1-1,NA,NA,NA,0,6/20/18
128,LV1 P1 QNA #24-1-1,LV1,1,NA,7/10/18,24-1-1,11,3,NA,0,6/20/18
129,LV1 P1 QNA #24-1-1,LV1,1,NA,7/18/18,24-1-1,6,8,3,0,6/20/18
1106,LV3 P1 QNA #93,LV3,1,NA,7/10/18,93,NA,NA,NA,1,5/17/18
131,LV1 P1 QNA #24-1-1,LV1,1,NA,8/5/18,24-1-1,0,0,0,0,6/20/18
132,LV1 P1 QNA #24-1-1,LV1,1,NA,8/27/18,24-1-1,NA,NA,NA,0,6/20/18
133,LV1 P1 QNA #24-1-2,LV1,1,NA,7/1/18,24-1-2,NA,NA,NA,0,6/20/18
134,LV1 P1 QNA #24-1-2,LV1,1,NA,7/10/18,24-1-2,15,1,NA,0,6/20/18
135,LV1 P1 QNA #24-1-2,LV1,1,NA,7/18/18,24-1-2,12,8,3,0,6/20/18
1226,LV3 P1.5 QNA #64,LV3,1.5,NA,7/10/18,64,NA,NA,NA,1,5/3/18
1232,LV3 P1.5 QNA #65,LV3,1.5,NA,7/10/18,65,NA,NA,NA,1,5/3/18
138,LV1 P1 QNA #24-1-2,LV1,1,NA,8/27/18,24-1-2,NA,NA,NA,0,6/20/18
139,LV1 P1 QNA #24-1-3,LV1,1,NA,7/1/18,24-1-3,NA,NA,NA,0,6/20/18
140,LV1 P1 QNA #24-1-3,LV1,1,NA,7/10/18,24-1-3,34,3,NA,0,6/20/18
1256,LV3 P1.5 QNA #69,LV3,1.5,NA,7/10/18,69,NA,NA,NA,1,5/3/18
142,LV1 P1 QNA #24-1-3,LV1,1,NA,7/27/18,24-1-3,NA,NA,NA,NA,6/20/18
1268,LV3 P1.5 QNA #71,LV3,1.5,NA,7/10/18,71,2,1,12,1,5/3/18
144,LV1 P1 QNA #24-1-3,LV1,1,NA,8/27/18,24-1-3,NA,NA,NA,0,6/20/18
145,LV1 P1 QNA #24-1-4,LV1,1,NA,7/1/18,24-1-4,NA,NA,NA,0,6/20/18
146,LV1 P1 QNA #24-1-4,LV1,1,NA,7/10/18,24-1-4,10,1,NA,0,6/20/18
147,LV1 P1 QNA #24-1-4,LV1,1,NA,7/18/18,24-1-4,3,4,2,0,6/20/18
148,LV1 P1 QNA #24-1-4,LV1,1,NA,7/27/18,24-1-4,NA,NA,NA,NA,6/20/18
1274,LV3 P1.5 QNA #72,LV3,1.5,NA,7/10/18,72,NA,NA,NA,1,5/3/18
150,LV1 P1 QNA #24-1-4,LV1,1,NA,8/27/18,24-1-4,NA,NA,NA,0,6/20/18
151,LV1 P1 QNA #24-1-5,LV1,1,NA,7/1/18,24-1-5,NA,NA,NA,0,6/20/18
152,LV1 P1 QNA #24-1-5,LV1,1,NA,7/10/18,24-1-5,NA,NA,NA,NA,6/20/18
153,LV1 P1 QNA #24-1-5,LV1,1,NA,7/18/18,24-1-5,7,11,9,0,6/20/18
1280,LV3 P1.5 QNA #73,LV3,1.5,NA,7/10/18,73,NA,NA,NA,1,5/3/18
1286,LV3 P1.5 QNA #74,LV3,1.5,NA,7/10/18,74,NA,NA,NA,1,5/3/18
156,LV1 P1 QNA #24-1-5,LV1,1,NA,8/27/18,24-1-5,NA,NA,NA,0,6/20/18
157,LV1 P1 QNA #24-1-6,LV1,1,NA,7/1/18,24-1-6,NA,NA,NA,0,6/20/18
158,LV1 P1 QNA #24-1-6,LV1,1,NA,7/10/18,24-1-6,13,NA,NA,0,6/20/18
159,LV1 P1 QNA #24-1-6,LV1,1,NA,7/18/18,24-1-6,4,5,5,0,6/20/18
160,LV1 P1 QNA #24-1-6,LV1,1,NA,7/27/18,24-1-6,NA,NA,6,NA,6/20/18
161,LV1 P1 QNA #24-1-6,LV1,1,NA,8/5/18,24-1-6,0,0,6,0,6/20/18
162,LV1 P1 QNA #24-1-6,LV1,1,NA,8/27/18,24-1-6,NA,NA,NA,0,6/20/18
163,LV1 P1 QNA #24-3,LV1,1,NA,7/1/18,24-3,NA,NA,NA,0,6/20/18
164,LV1 P1 QNA #24-3,LV1,1,NA,7/10/18,24-3,NA,NA,NA,NA,6/20/18
165,LV1 P1 QNA #24-3,LV1,1,NA,7/18/18,24-3,NA,NA,NA,0,6/20/18
166,LV1 P1 QNA #24-3,LV1,1,NA,7/27/18,24-3,NA,NA,NA,NA,6/20/18
167,LV1 P1 QNA #24-3,LV1,1,NA,8/5/18,24-3,NA,NA,NA,0,6/20/18
168,LV1 P1 QNA #24-3,LV1,1,NA,8/27/18,24-3,NA,NA,NA,0,6/20/18
169,LV1 P1 QNA #24-5,LV1,1,NA,7/1/18,24-5,NA,NA,NA,0,6/20/18
170,LV1 P1 QNA #24-5,LV1,1,NA,7/10/18,24-5,21,6,NA,0,6/20/18
171,LV1 P1 QNA #24-5,LV1,1,NA,7/18/18,24-5,NA,NA,NA,0,6/20/18
172,LV1 P1 QNA #24-5,LV1,1,NA,7/27/18,24-5,NA,NA,NA,NA,6/20/18
173,LV1 P1 QNA #24-5,LV1,1,NA,8/5/18,24-5,NA,NA,NA,0,6/20/18
174,LV1 P1 QNA #24-5,LV1,1,NA,8/27/18,24-5,NA,NA,NA,0,6/20/18
175,LV1 P1 QNA #24-6,LV1,1,NA,7/1/18,24-6,11,0,0,0,6/20/18
176,LV1 P1 QNA #24-6,LV1,1,NA,7/10/18,24-6,25,NA,NA,0,6/20/18
177,LV1 P1 QNA #24-6,LV1,1,NA,7/18/18,24-6,16,11,4,0,6/20/18
1292,LV3 P1.5 QNA #75,LV3,1.5,NA,7/10/18,75,NA,NA,NA,1,5/3/18
9,LV1 P1 QNA #1-1,LV1,1,NA,7/18/18,1-Jan,9,3,NA,1,6/20/18
27,LV1 P1 QNA #13-2,LV1,1,NA,7/18/18,13-2,NA,NA,NA,1,6/20/18
181,LV1 P1 QNA #35,LV1,1,NA,7/1/18,35,NA,NA,NA,0,6/20/18
182,LV1 P1 QNA #35,LV1,1,NA,7/10/18,35,NA,NA,NA,NA,6/20/18
183,LV1 P1 QNA #35,LV1,1,NA,7/18/18,35,NA,NA,NA,0,6/20/18
184,LV1 P1 QNA #35,LV1,1,NA,7/27/18,35,NA,NA,NA,NA,6/20/18
185,LV1 P1 QNA #35,LV1,1,NA,8/5/18,35,NA,NA,NA,0,6/20/18
186,LV1 P1 QNA #35,LV1,1,NA,8/27/18,35,NA,NA,NA,0,6/20/18
187,LV1 P1 QNA #38-1,LV1,1,NA,7/1/18,38-1,NA,NA,NA,0,6/20/18
188,LV1 P1 QNA #38-1,LV1,1,NA,7/10/18,38-1,NA,NA,NA,NA,6/20/18
189,LV1 P1 QNA #38-1,LV1,1,NA,7/18/18,38-1,NA,NA,NA,0,6/20/18
190,LV1 P1 QNA #38-1,LV1,1,NA,7/27/18,38-1,NA,NA,NA,NA,6/20/18
191,LV1 P1 QNA #38-1,LV1,1,NA,8/5/18,38-1,NA,NA,NA,0,6/20/18
192,LV1 P1 QNA #38-1,LV1,1,NA,8/27/18,38-1,NA,NA,NA,0,6/20/18
193,LV1 P1 QNA #38-2,LV1,1,NA,7/1/18,38-2,NA,NA,NA,0,6/20/18
141,LV1 P1 QNA #24-1-3,LV1,1,NA,7/18/18,24-1-3,19,15,8,1,6/20/18
195,LV1 P1 QNA #38-2,LV1,1,NA,7/18/18,38-2,NA,NA,NA,1,6/20/18
1065,LV3 P1 QNA #86,LV3,1,NA,7/18/18,86,NA,NA,NA,1,5/17/18
1089,LV3 P1 QNA #90,LV3,1,NA,7/18/18,90,NA,NA,NA,1,5/17/18
198,LV1 P1 QNA #38-2,LV1,1,NA,8/27/18,38-2,NA,NA,NA,0,6/20/18
199,LV1 P1 QNA #38-3,LV1,1,NA,7/1/18,38-3,NA,NA,NA,0,6/20/18
1107,LV3 P1 QNA #93,LV3,1,NA,7/18/18,93,NA,NA,NA,1,5/17/18
201,LV1 P1 QNA #38-3,LV1,1,NA,7/18/18,38-3,NA,NA,NA,0,6/20/18
1119,LV3 P1 QNA #95,LV3,1,NA,7/18/18,95,6,2,5,1,5/17/18
1209,LV3 P1.5 QNA #61,LV3,1.5,NA,7/18/18,61,0,0,11,1,5/3/18
204,LV1 P1 QNA #38-3,LV1,1,NA,8/27/18,38-3,NA,NA,NA,0,6/20/18
205,LV1 P1 QNA #38-4,LV1,1,NA,7/1/18,38-4,NA,NA,NA,0,6/20/18
206,LV1 P1 QNA #38-4,LV1,1,NA,7/10/18,38-4,14,NA,NA,0,6/20/18
207,LV1 P1 QNA #38-4,LV1,1,NA,7/18/18,38-4,5,8,4,0,6/20/18
208,LV1 P1 QNA #38-4,LV1,1,NA,7/27/18,38-4,NA,NA,NA,NA,6/20/18
1227,LV3 P1.5 QNA #64,LV3,1.5,NA,7/18/18,64,NA,NA,NA,1,5/3/18
1233,LV3 P1.5 QNA #65,LV3,1.5,NA,7/18/18,65,NA,NA,NA,1,5/3/18
211,LV1 P1 QNA #38-5,LV1,1,NA,7/1/18,38-5,NA,NA,NA,0,6/20/18
212,LV1 P1 QNA #38-5,LV1,1,NA,7/10/18,38-5,10,NA,NA,0,6/20/18
213,LV1 P1 QNA #38-5,LV1,1,NA,7/18/18,38-5,5,5,2,0,6/20/18
214,LV1 P1 QNA #38-5,LV1,1,NA,7/27/18,38-5,NA,NA,3,NA,6/20/18
215,LV1 P1 QNA #38-5,LV1,1,NA,8/5/18,38-5,0,0,3,0,6/20/18
216,LV1 P1 QNA #38-5,LV1,1,NA,8/27/18,38-5,NA,NA,NA,0,6/20/18
217,LV1 P1 QNA #38-6,LV1,1,NA,7/1/18,38-6,NA,NA,NA,0,6/20/18
218,LV1 P1 QNA #38-6,LV1,1,NA,7/10/18,38-6,11,NA,NA,0,6/20/18
219,LV1 P1 QNA #38-6,LV1,1,NA,7/18/18,38-6,5,6,5,0,6/20/18
220,LV1 P1 QNA #38-6,LV1,1,NA,7/27/18,38-6,NA,NA,7,NA,6/20/18
221,LV1 P1 QNA #38-6,LV1,1,NA,8/5/18,38-6,0,0,7,0,6/20/18
222,LV1 P1 QNA #38-6,LV1,1,NA,8/27/18,38-6,NA,NA,NA,0,6/20/18
223,LV1 P1 QNA #38-7,LV1,1,NA,7/1/18,38-7,NA,NA,NA,0,6/20/18
224,LV1 P1 QNA #38-7,LV1,1,NA,7/10/18,38-7,11,NA,NA,0,6/20/18
225,LV1 P1 QNA #38-7,LV1,1,NA,7/18/18,38-7,5,5,2,0,6/20/18
226,LV1 P1 QNA #38-7,LV1,1,NA,7/27/18,38-7,NA,NA,4,NA,6/20/18
227,LV1 P1 QNA #38-7,LV1,1,NA,8/5/18,38-7,0,0,5,0,6/20/18
228,LV1 P1 QNA #38-7,LV1,1,NA,8/27/18,38-7,NA,NA,NA,0,6/20/18
229,LV1 P1 QNA #38-8,LV1,1,NA,7/1/18,38-8,NA,NA,NA,0,6/20/18
230,LV1 P1 QNA #38-8,LV1,1,NA,7/10/18,38-8,11,NA,NA,0,6/20/18
231,LV1 P1 QNA #38-8,LV1,1,NA,7/18/18,38-8,5,6,3,0,6/20/18
232,LV1 P1 QNA #38-8,LV1,1,NA,7/27/18,38-8,NA,NA,5,NA,6/20/18
233,LV1 P1 QNA #38-8,LV1,1,NA,8/5/18,38-8,0,0,5,0,6/20/18
234,LV1 P1 QNA #38-8,LV1,1,NA,8/27/18,38-8,NA,NA,NA,0,6/20/18
235,LV1 P1 QNA #38-9,LV1,1,NA,7/1/18,38-9,NA,NA,NA,0,6/20/18
236,LV1 P1 QNA #38-9,LV1,1,NA,7/10/18,38-9,10,NA,NA,0,6/20/18
237,LV1 P1 QNA #38-9,LV1,1,NA,7/18/18,38-9,5,7,3,0,6/20/18
238,LV1 P1 QNA #38-9,LV1,1,NA,7/27/18,38-9,NA,NA,4,NA,6/20/18
239,LV1 P1 QNA #38-9,LV1,1,NA,8/5/18,38-9,0,0,4,0,6/20/18
240,LV1 P1 QNA #38-9,LV1,1,NA,8/27/18,38-9,NA,NA,NA,0,6/20/18
241,LV1 P1 QNA #40-1,LV1,1,NA,7/1/18,40-1,NA,NA,NA,0,6/20/18
242,LV1 P1 QNA #40-1,LV1,1,NA,7/10/18,40-1,NA,NA,NA,0,6/20/18
243,LV1 P1 QNA #40-1,LV1,1,NA,7/18/18,40-1,NA,NA,NA,0,6/20/18
244,LV1 P1 QNA #40-1,LV1,1,NA,7/27/18,40-1,NA,NA,NA,NA,6/20/18
245,LV1 P1 QNA #40-1,LV1,1,NA,8/5/18,40-1,NA,NA,NA,0,6/20/18
246,LV1 P1 QNA #40-1,LV1,1,NA,8/27/18,40-1,NA,NA,NA,0,6/20/18
247,LV1 P1 QNA #40-2,LV1,1,NA,7/1/18,40-2,NA,NA,NA,0,6/20/18
248,LV1 P1 QNA #40-2,LV1,1,NA,7/10/18,40-2,NA,NA,NA,0,6/20/18
249,LV1 P1 QNA #40-2,LV1,1,NA,7/18/18,40-2,NA,NA,NA,0,6/20/18
250,LV1 P1 QNA #40-2,LV1,1,NA,7/27/18,40-2,NA,NA,NA,NA,6/20/18
251,LV1 P1 QNA #40-2,LV1,1,NA,8/5/18,40-2,NA,NA,NA,0,6/20/18
252,LV1 P1 QNA #40-2,LV1,1,NA,8/27/18,40-2,NA,NA,NA,0,6/20/18
253,LV1 P1 QNA #43-1,LV1,1,NA,7/1/18,43-1,1.2,NA,NA,0,6/20/18
254,LV1 P1 QNA #43-1,LV1,1,NA,7/10/18,43-1,11,NA,NA,0,6/20/18
255,LV1 P1 QNA #43-1,LV1,1,NA,7/18/18,43-1,5,6,3,0,6/20/18
256,LV1 P1 QNA #43-1,LV1,1,NA,7/27/18,43-1,NA,NA,NA,NA,6/20/18
257,LV1 P1 QNA #43-1,LV1,1,NA,8/5/18,43-1,NA,NA,NA,0,6/20/18
258,LV1 P1 QNA #43-1,LV1,1,NA,8/27/18,43-1,NA,NA,NA,0,6/20/18
259,LV1 P1 QNA #43-2,LV1,1,NA,7/1/18,43-2,1.5,NA,NA,0,6/20/18
260,LV1 P1 QNA #43-2,LV1,1,NA,7/10/18,43-2,13,NA,NA,0,6/20/18
261,LV1 P1 QNA #43-2,LV1,1,NA,7/18/18,43-2,8,8,2,0,6/20/18
262,LV1 P1 QNA #43-2,LV1,1,NA,7/27/18,43-2,NA,NA,5,NA,6/20/18
