site,plot,quad,ind,uniqueID,itero.per,emerg.date,date_01.07.2018,phen_01.07.2018,stem.diam_01.07.2018,height_01.07.2018,total.branch_01.07.2018,longest.leaf_01.07.2018,buds_01.07.2018,flrs_01.07.2018,fruits_01.07.2018,longest.fruit_01.07.2018,herb_01.07.2018,notes_01.07.2018,protocol.notes_01.07.2018,canopy.width.largest.rosette_10.07.2018,date_18.07.2018,phen_18.07.2018,stem.diam_18.07.2018,height_18.07.2018,total.branch_18.07.2018,longest.leaf_18.07.2018,buds_18.07.2018,flrs_18.07.2018,fruits_18.07.2018,longest.fruit_18.07.2018,notes_18.07.2018,herb_18.07.2018,protocol.notes_18.07.2018,date_05.08.2018,phen_05.08.2018,stem.diam_05.08.2018,height_05.08.2018,total.branch_05.08.2018,longest.leaf_05.08.2018,buds_05.08.2018,flrs_05.08.2018,fruits_05.08.2018,longest.fruit_05.08.2018,notes_05.08.2018,herb_05.08.2018,protocol.notes_05.08.2018,date_27.08.2018,phen_27.08.2018,height_27.08.2018,total.branch_27.08.2018,longest.leaf_27.08.2018,buds_27.08.2018,flrs_27.08.2018,fruits_27.08.2018,longest.fruit_27.08.2018,notes_27.08.2018,herb_27.08.2018,protocol.notes_27.08.2018
LV1,1,NA,15,LV1 P1 QNA #15,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,16,LV1 P1 QNA #16,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,17,LV1 P1 QNA #17,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,18,LV1 P1 QNA #18,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,19,LV1 P1 QNA #19,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,19-1,LV1 P1 QNA #19-1,Y,2017,6/30/18,B,NA,3.75,1,NA,11,0,0,NA,0,5 Small V around,NA,NA,7/18/18,F,NA,19,2,NA,8,8,13,NA,NA,0,NA,8/5/18,P,2.88,11.5,2,NA,0,0,5,5.6,herb 2b (1),2,NA,8/27/18,S,11,2,NA,NA,NA,4,NA,"herb 1a, 2b (1)",1.5,NA
LV1,1,NA,19-1-1,LV1 P1 QNA #19-1-1,N,7/18/18,6/30/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,V,NA,2.5,1,1,NA,NA,NA,NA,NA,0,NA,8/5/18,V,1.73,2.2,1,1.4,NA,NA,NA,NA,NA,0,NA,8/27/18,V,2.4,1,1.3,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,19-1-2,LV1 P1 QNA #19-1-2,N,7/18/18,6/30/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,F,NA,8.2,1,NA,4,2,2,NA,NA,0,NA,8/5/18,P,2.03,9,1,NA,0,0,2,4.8,NA,0,NA,8/27/18,SX,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,19-1-3,LV1 P1 QNA #19-1-3,N,7/18/18,6/30/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,F,NA,4,1,NA,2,0,2,NA,chopped (2b),2,NA,8/5/18,P,1.55,6.1,1,NA,0,0,2,6.6,NA,0,NA,8/27/18,SX,NA,NA,NA,NA,NA,NA,NA,dislodged,0,NA
LV1,1,NA,19-1-4,LV1 P1 QNA #19-1-4,N,7/18/18,6/30/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,V,NA,1.6,1,0.6,NA,NA,NA,NA,NA,0,NA,8/5/18,V,1.26,2.4,1,1,NA,NA,NA,NA,NA,0,NA,8/27/18,V,3.3,1,1,NA,NA,NA,NA,herb 1b,1,NA
LV1,1,NA,19-1-5,LV1 P1 QNA #19-1-5,N,7/18/18,6/30/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,B,NA,3.3,1,NA,6,NA,NA,NA,NA,0,NA,8/5/18,P,1.77,4.8,1,NA,0,0,2,6.3,NA,0,NA,8/27/18,P,4.5,1,NA,NA,NA,2,NA,NA,0,NA
LV1,1,NA,19-2,LV1 P1 QNA #19-2,N,2017 (5V),6/30/18,B,NA,3.75,1,NA,10,0,0,NA,0,NA,NA,NA,7/18/18,F,NA,18.1,4,NA,11,16,19,NA,NA,0,NA,8/5/18,F,4.82,10.5,6,NA,20,9,0,NA,herb 2b (3),2,NA,8/27/18,P,12.5,6,NA,NA,NA,11,NA,NA,0,NA
LV1,1,NA,19-3,LV1 P1 QNA #19-3,N,7/18/18,6/30/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,V,NA,2.1,1,1.1,NA,NA,NA,NA,NA,0,NA,8/5/18,V,1.55,2.5,1,1.1,NA,NA,NA,NA,NA,0,NA,8/27/18,V,3.5,1,10,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,19-4,LV1 P1 QNA #19-4,N,7/18/18,6/30/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,F,NA,12.1,1,NA,4,4,6,NA,NA,0,NA,8/5/18,P,1.88,13.2,1,NA,0,0,5,5.9,NA,0,NA,8/27/18,SX,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,19-5,LV1 P1 QNA #19-5,N,7/18/18,6/30/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,V,NA,1.2,1,1.4,NA,NA,NA,NA,NA,0,NA,8/5/18,V,1.48,2.1,1,1.3,NA,NA,NA,NA,NA,0,NA,8/27/18,V,1.7,1,1.4,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,19-6,LV1 P1 QNA #19-6,N,7/18/18,6/30/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,F,NA,17.6,1,NA,5,6,9,NA,NA,0,NA,8/5/18,P,2.3,16.3,1,NA,0,0,7,7.1,NA,0,NA,8/27/18,SX,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,19-7,LV1 P1 QNA #19-7,N,7/18/18,6/30/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,F,NA,17.1,1,NA,5,5,7,NA,NA,0,NA,8/5/18,P,2.06,17.7,1,NA,0,0,7,7,NA,0,NA,8/27/18,SX,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,2,LV1 P1 QNA #2,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,new small vegetative growth on stem,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,20,LV1 P1 QNA #20,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,20-1,LV1 P1 QNA #20-1,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,20-2,LV1 P1 QNA #20-2,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,20-3,LV1 P1 QNA #20-3,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,21,LV1 P1 QNA #21,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,3 small veg. nearby,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,21-1,LV1 P1 QNA #21-1,N,7/18/18,6/30/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,F,NA,16.2,1,NA,5,6,9,NA,NA,0,NA,8/5/18,P,2.22,18,1,NA,0,0,8,6.8,NA,0,NA,8/27/18,SX,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,22,LV1 P1 QNA #22,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,23,LV1 P1 QNA #23,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,23-1,LV1 P1 QNA #23-1,N,2017,6/30/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Can't Find,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,23-2,LV1 P1 QNA #23-2,Y,2017,6/30/18,B,NA,4.2,1,NA,8,0,0,NA,0,NA,NA,NA,7/18/18,F,NA,14,1,NA,4,6,8,NA,NA,0,NA,8/5/18,P,1.85,14.5,1,NA,0,0,7,5.7,NA,0,NA,8/27/18,SX,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,23-3,LV1 P1 QNA #23-3,Y,2017,6/30/18,B,NA,5,1,NA,8,0,0,NA,0,NA,NA,NA,7/18/18,F,NA,10.5,1,NA,5,2,NA,NA,some failed/dried pods & flowers,0,NA,8/5/18,P,1.59,13,1,NA,0,0,0,NA,did not successfully fruit,0,NA,8/27/18,P,13.5,1,NA,NA,NA,NA,NA,"1a, drying up",1,NA
LV1,1,NA,24,LV1 P1 QNA #24,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,24-1,LV1 P1 QNA #24-1,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,24-1-1,LV1 P1 QNA #24-1-1,N,7/18/18,6/30/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,F,NA,16.6,1,NA,6,8,3,NA,NA,0,NA,8/5/18,P,3.24,9.3,1,NA,0,0,0,NA,NA,0,NA,8/27/18,P?,7.7,1,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,24-1-2,LV1 P1 QNA #24-1-2,N,7/18/18,6/30/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,F,NA,11.5,3,NA,12,8,3,NA,NA,0,NA,8/5/18,P,2.16,13,2,NA,0,0,5,5.1,herb 2b(1),2,NA,8/27/18,SX/V,11.5,2,1,NA,NA,NA,NA,2 VB,0,NA
LV1,1,NA,24-1-3,LV1 P1 QNA #24-1-3,N,7/18/18,6/30/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,F,NA,16.5,4,NA,19,15,8,NA,herb 1a,1,NA,8/5/18,P,3.16,9.6,3,NA,0,0,0,NA,herb 2b (3),2,NA,8/27/18,SX,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,24-1-4,LV1 P1 QNA #24-1-4,N,7/18/18,6/30/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,F,NA,13.3,1,NA,3,4,2,NA,NA,0,NA,8/5/18,P,2.18,4.3,1,NA,0,0,0,NA,herb 2b (1),2,NA,8/27/18,SX/X,NA,NA,NA,NA,NA,NA,NA,SX OR X? CHECK PREVIOUS DATA,0,NA
LV1,1,NA,24-1-5,LV1 P1 QNA #24-1-5,N,7/18/18,6/30/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,F,NA,17.4,2,NA,7,11,9,NA,NA,0,NA,8/5/18,P,2.04,8.7,2,NA,0,0,0,NA,herb 2b (2),2,NA,8/27/18,SX/X,NA,NA,NA,NA,NA,NA,NA,SX OR X? CHECK PREVIOUS DATA,0,NA
LV1,1,NA,24-1-6,LV1 P1 QNA #24-1-6,N,7/18/18,6/30/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,F,NA,14.5,1,NA,4,5,5,NA,NA,0,NA,8/5/18,P,2.16,17,1,NA,0,0,6,5.6,NA,0,NA,8/27/18,SX,NA,NA,NA,NA,NA,NA,NA,SX OR X? CHECK PREVIOUS DATA,0,NA
LV1,1,NA,24-2,LV1 P1 QNA #24-2,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,tag came off (D),NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,24-3,LV1 P1 QNA #24-3,N,2017,6/30/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,24-4,LV1 P1 QNA #24-4,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,2 or 3 V nearby,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,24-5,LV1 P1 QNA #24-5,N,2017,6/30/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,24-6,LV1 P1 QNA #24-6,N,2017,6/30/18,B,NA,5.8,2,NA,11,0,0,NA,0,NA,NA,NA,7/18/18,F,NA,12.9,3,NA,16,11,4,NA,NA,0,NA,8/5/18,P,3.22,11.6,3,NA,0,0,1,5.1,herb 2b (3),2,NA,8/27/18,P,15.2,3,NA,NA,NA,4,NA,"herb 2b (3), 2 VB",2,NA
LV1,1,NA,25,LV1 P1 QNA #25,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,26,LV1 P1 QNA #26,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,27,LV1 P1 QNA #27,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,28,LV1 P1 QNA #28,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,29,LV1 P1 QNA #29,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,3,LV1 P1 QNA #3,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,30,LV1 P1 QNA #30,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,31,LV1 P1 QNA #31,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,32,LV1 P1 QNA #32,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,33,LV1 P1 QNA #33,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,34,LV1 P1 QNA #34,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,35,LV1 P1 QNA #35,N,2017,6/30/18,Cant Find,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
