"","uniqueID","site","plot","quad","ind","year","elevation","date","jday","meltdate","jmeltdate","branchdamage","buds","canopywidth","flrs","fruits","height","herb","longestfruit","longestleaf","phen","stemdiam","totalbranch","herb1","herb2","anyherb","buds1"
"28","LVTR2 PNA QNA #4","LVTR2","NA","NA","4",2017,2808,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,"0.9","V","3.16",1,0,0,0,NA
"29","LVTR2 PNA QNA #11","LVTR2","NA","NA","11",2017,2808,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"2.6",NA,NA,"1.1","V","0.82",1,0,0,0,NA
"30","LVTR2 PNA QNA #12","LVTR2","NA","NA","12",2017,2808,2017-08-08,220,NA,NA,NA,NA,NA,NA,2,"23.2",NA,"4.9",NA,"S","2.1",3,0,0,0,NA
"31","LVTR2 PNA QNA #13","LVTR2","NA","NA","13",2017,2808,2017-08-08,220,NA,NA,NA,NA,NA,NA,55,"20",NA,"5.5",NA,"P","3.84",13,0,0,0,NA
"32","LVTR2 PNA QNA #14","LVTR2","NA","NA","14",2017,2808,2017-08-08,220,NA,NA,NA,NA,NA,NA,7,"24",NA,"5.4",NA,"P","2.03",1,0,0,0,NA
"33","LVTR2 PNA QNA #17","LVTR2","NA","NA","17",2017,2808,2017-08-08,220,NA,NA,NA,NA,NA,NA,2,"14.5",NA,"5.2",NA,"SX","2.27",1,0,0,0,NA
"34","LVTR2 PNA QNA #18","LVTR2","NA","NA","18",2017,2808,2017-08-08,220,NA,NA,NA,NA,NA,NA,10,"24.6",NA,"6.4",NA,"P","2.74",1,0,0,0,NA
"35","LVTR2 PNA QNA #23","LVTR2","NA","NA","23",2017,2808,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"3.3",NA,NA,"0.6","V","~1.0*",1,0,0,0,NA
"36","LVTR1 PNA QNA #1","LVTR1","NA","NA","1",2017,2756,2017-08-08,220,NA,NA,NA,5,NA,3,5,"15.2",NA,"7.5",NA,"F","2.94",5,0,0,0,NA
"37","LVTR1 PNA QNA #2","LVTR1","NA","NA","2",2017,2756,2017-08-08,220,NA,NA,NA,4,NA,NA,1,"13",NA,"8",NA,"P","1.65",1,0,0,0,NA
"38","LVTR1 PNA QNA #3","LVTR1","NA","NA","3",2017,2756,2017-08-08,220,NA,NA,NA,8,NA,5,NA,"9.1",NA,NA,NA,"F","1.4",3,0,0,0,NA
"39","LVTR1 PNA QNA #4","LVTR1","NA","NA","4",2017,2756,2017-08-08,220,NA,NA,NA,NA,NA,NA,5,"12",NA,"6.3",NA,"P","1.57",2,0,0,0,NA
"40","LVTR1 PNA QNA #5","LVTR1","NA","NA","5",2017,2756,2017-08-08,220,NA,NA,NA,NA,NA,NA,8,"10.5",NA,"5.2",NA,"P","1.9",3,0,0,0,NA
"41","LVTR1 PNA QNA #6","LVTR1","NA","NA","6",2017,2756,2017-08-08,220,NA,NA,NA,NA,NA,3,2,"14",NA,"4",NA,"F","3.31",5,0,0,0,NA
"42","LVTR1 PNA QNA #7","LVTR1","NA","NA","7",2017,2756,2017-08-08,220,NA,NA,NA,NA,NA,NA,1,"10",NA,"5.4",NA,"P","1.58",1,0,0,0,NA
"43","LVTR1 PNA QNA #8","LVTR1","NA","NA","8",2017,2756,2017-08-08,220,NA,NA,NA,2,NA,1,6,"14.4",NA,"8",NA,"F","1.78",3,0,0,0,NA
"44","LVTR1 PNA QNA #9","LVTR1","NA","NA","9",2017,2756,2017-08-08,220,NA,NA,NA,NA,NA,NA,2,"11",NA,"4.6",NA,"P","1.79",2,0,0,0,NA
"45","LVTR1 PNA QNA #10","LVTR1","NA","NA","10",2017,2756,2017-08-08,220,NA,NA,NA,NA,NA,NA,2,"14.5",NA,"4.4",NA,"P","2.15",5,0,0,0,NA
"46","LVTR1 PNA QNA #11","LVTR1","NA","NA","11",2017,2756,2017-08-08,220,NA,NA,NA,NA,NA,NA,6,"11.3",NA,"4.6",NA,"S","1.82",2,0,0,0,NA
"47","LVTR1 PNA QNA #12","LVTR1","NA","NA","12",2017,2756,2017-08-08,220,NA,NA,NA,NA,NA,NA,7,"10",NA,"4.2",NA,"S","2.1",3,0,0,0,NA
"48","LVTR1 PNA QNA #13","LVTR1","NA","NA","13",2017,2756,2017-08-08,220,NA,NA,NA,NA,NA,NA,4,"12",NA,"5.1",NA,"S","1.86",1,0,0,0,NA
"49","LVTR1 PNA QNA #14","LVTR1","NA","NA","14",2017,2756,2017-08-08,220,NA,NA,NA,NA,NA,NA,1,"10",NA,"2.7",NA,"P","1.26",1,0,0,0,NA
"50","LVTR1 PNA QNA #15","LVTR1","NA","NA","15",2017,2756,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"2.8",NA,NA,"0.6","V","1.27",1,0,0,0,NA
"51","LVTR1 PNA QNA #16","LVTR1","NA","NA","16",2017,2756,2017-08-08,220,NA,NA,NA,NA,NA,NA,3,"11",NA,"4.1",NA,"SX","1.76",1,0,0,0,NA
"52","LVTR1 PNA QNA #17","LVTR1","NA","NA","17",2017,2756,2017-08-08,220,NA,NA,NA,NA,NA,NA,1,"7.1",NA,"1.6",NA,"P","1.2",2,0,0,0,NA
"53","LVTR1 PNA QNA #18","LVTR1","NA","NA","18",2017,2756,2017-08-08,220,NA,NA,NA,2,NA,NA,NA,"5",NA,NA,NA,"B","0.72",1,0,0,0,NA
"54","LVTR1 PNA QNA #19","LVTR1","NA","NA","19",2017,2756,2017-08-08,220,NA,NA,NA,NA,NA,NA,4,"11.6",NA,"5.2",NA,"P","2.63",NA,0,0,0,NA
"55","LVTR1 PNA QNA #20","LVTR1","NA","NA","20",2017,2756,2017-08-08,220,NA,NA,NA,NA,NA,NA,2,"12",NA,"5",NA,"SX","1.12",1,0,0,0,NA
"56","LVTR1 PNA QNA #21","LVTR1","NA","NA","21",2017,2756,2017-08-08,220,NA,NA,NA,2,NA,NA,1,"9.1",NA,"5.1",NA,"P","1.19",1,0,0,0,NA
"57","LVTR1 PNA QNA #22","LVTR1","NA","NA","22",2017,2756,2017-08-08,220,NA,NA,NA,NA,NA,NA,6,"12.3",NA,"4",NA,"P","2.85",2,0,0,0,NA
"58","LVTR1 PNA QNA #23","LVTR1","NA","NA","23",2017,2756,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"7.5",NA,NA,NA,"P","1.54",1,0,0,0,NA
"59","LVTR1 PNA QNA #24","LVTR1","NA","NA","24",2017,2756,2017-08-08,220,NA,NA,NA,2,NA,2,4,"11.8","2","4.2",NA,"F","1.56",3,0,1,1,NA
"60","LVTR1 PNA QNA #25","LVTR1","NA","NA","25",2017,2756,2017-08-08,220,NA,NA,NA,NA,NA,NA,3,"10.5",NA,"4.6",NA,"P","1.93",1,0,0,0,NA
"61","LV1 P1 QNA #1-1","LV1","1","NA","1-1",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"62","LV1 P1 QNA #1-2","LV1","1","NA","1-2",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"63","LV1 P1 QNA #6-1","LV1","1","NA","6-1",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"64","LV1 P1 QNA #8-1","LV1","1","NA","8-1",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"65","LV1 P1 QNA #9","LV1","1","NA","9",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"3.5",NA,NA,"1.2","V","2.55",4,0,0,0,NA
"66","LV1 P1 QNA #20","LV1","1","NA","20",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"1.5",NA,NA,"1.4","V","0.85",1,0,0,0,NA
"67","LV1 P1 QNA #20-1","LV1","1","NA","20-1",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"68","LV1 P1 QNA #20-2","LV1","1","NA","20-2",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"69","LV1 P1 QNA #20-3","LV1","1","NA","20-3",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"70","LV1 P1 QNA #23-1","LV1","1","NA","23-1",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"71","LV1 P1 QNA #24-1","LV1","1","NA","24-1",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"72","LV1 P1 QNA #24-2","LV1","1","NA","24-2",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"73","LV1 P1 QNA #24-3","LV1","1","NA","24-3",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"74","LV1 P1 QNA #24-4","LV1","1","NA","24-4",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"75","LV1 P1 QNA #24-5","LV1","1","NA","24-5",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"76","LV1 P1 QNA #31","LV1","1","NA","31",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,"1.3","V","3.81",2,0,0,0,NA
"77","LV1 P1 QNA #35","LV1","1","NA","35",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"5.3",NA,NA,"0.6","V","3.16",4,0,0,0,NA
"78","LV1 P1 QNA #36","LV1","1","NA","36",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,"1.1","V","1.02",1,0,0,0,NA
"79","LV1 P1 QNA #37","LV1","1","NA","37",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"3.8",NA,NA,"0.8","V","0.46",1,0,0,0,NA
"80","LV1 P1 QNA #37-1","LV1","1","NA","37-1",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"81","LV1 P1 QNA #38-1","LV1","1","NA","38-1",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"82","LV1 P1 QNA #41","LV1","1","NA","41",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"2.2",NA,NA,"1","V","1.76",1,0,0,0,NA
"83","LV1 P1 QNA #42","LV1","1","NA","42",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"3.5",NA,NA,"0.7","V","3.4",2,0,0,0,NA
"84","LV1 P1 QNA #43-3","LV1","1","NA","43-3",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"85","LV1 P1 QNA #45","LV1","1","NA","45",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"5.5",NA,NA,"0.6","V","3.3",5,0,0,0,NA
"86","LV1 P1 QNA #46","LV1","1","NA","46",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"7.5",NA,NA,"1.4","V","3.94",6,0,0,0,NA
"87","LV1 P1 QNA #48","LV1","1","NA","48",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"2.1",NA,NA,"1","V","1.6",1,0,0,0,NA
"88","LV1 P1 QNA #50","LV1","1","NA","50",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"7",NA,NA,"0.8","V","2.44",3,0,0,0,NA
"89","LV1 P1 QNA #51","LV1","1","NA","51",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,"2.5","V","3.91",4,0,0,0,NA
"90","LV1 P1 QNA #52","LV1","1","NA","52",2017,2593,2017-08-08,220,NA,NA,NA,3,NA,NA,NA,"10",NA,NA,NA,"B","4.16",5,0,0,0,NA
"91","LV1 P2 QNA #0-2","LV1","2","NA","0-2",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"92","LV1 P2 QNA #0-2-1","LV1","2","NA","0-2-1",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"93","LV1 P2 QNA #0-2-2","LV1","2","NA","0-2-2",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"94","LV1 P2 QNA #0-3","LV1","2","NA","0-3",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"95","LV1 P2 QNA #0-6","LV1","2","NA","0-6",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"96","LV1 P2 QNA #0-7","LV1","2","NA","0-7",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"97","LV1 P2 QNA #0-8","LV1","2","NA","0-8",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"98","LV1 P2 QNA #0-10","LV1","2","NA","0-10",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"99","LV1 P2 QNA #0-12","LV1","2","NA","0-12",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"100","LV1 P2 QNA #1","LV1","2","NA","1",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"2","V","3.95",6,0,0,0,NA
"101","LV1 P2 QNA #2","LV1","2","NA","2",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"4.5",NA,NA,"1.5","V","2.14",3,0,0,0,NA
"102","LV1 P2 QNA #2-1","LV1","2","NA","2-1",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"103","LV1 P2 QNA #2-2","LV1","2","NA","2-2",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"104","LV1 P2 QNA #2-3","LV1","2","NA","2-3",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"105","LV1 P2 QNA #4","LV1","2","NA","4",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,"0.7","V","2.38",3,0,0,0,NA
"106","LV1 P2 QNA #5","LV1","2","NA","5",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"3.5",NA,NA,"1.8","V","2.02",1,0,0,0,NA
"107","LV1 P2 QNA #6-1","LV1","2","NA","6-1",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"108","LV1 P2 QNA #6-2","LV1","2","NA","6-2",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"109","LV1 P2 QNA #6-3","LV1","2","NA","6-3",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"110","LV1 P2 QNA #6-4","LV1","2","NA","6-4",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"111","LV1 P2 QNA #6-5","LV1","2","NA","6-5",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"112","LV1 P2 QNA #7","LV1","2","NA","7",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"1.5",NA,NA,"1.1","V","2.26",2,0,0,0,NA
"113","LV1 P2 QNA #7-1","LV1","2","NA","7-1",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"114","LV1 P2 QNA #7-2","LV1","2","NA","7-2",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"115","LV1 P2 QNA #9-1","LV1","2","NA","9-1",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"116","LV1 P2 QNA #9-1-1","LV1","2","NA","9-1-1",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"117","LV1 P2 QNA #9-2","LV1","2","NA","9-2",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"118","LV1 P2 QNA #9-3","LV1","2","NA","9-3",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"119","LV1 P2 QNA #9-5","LV1","2","NA","9-5",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"120","LV1 P2 QNA #9-6","LV1","2","NA","9-6",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"121","LV1 P2 QNA #10-1","LV1","2","NA","10-1",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"122","LV1 P2 QNA #10-2","LV1","2","NA","10-2",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"123","LV1 P2 QNA #10-3","LV1","2","NA","10-3",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"124","LV1 P2 QNA #10-4","LV1","2","NA","10-4",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"125","LV1 P2 QNA #10-5","LV1","2","NA","10-5",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"126","LV1 P2 QNA #10-6","LV1","2","NA","10-6",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"127","LV1 P2 QNA #11","LV1","2","NA","11",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"3.5",NA,NA,"0.7","V","1.79",1,0,0,0,NA
"128","LV1 P2 QNA #12","LV1","2","NA","12",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"3.8",NA,NA,"2","V","2.61",1,0,0,0,NA
"129","LV1 P2 QNA #12-1","LV1","2","NA","12-1",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"130","LV1 P2 QNA #12-2","LV1","2","NA","12-2",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"131","LV1 P2 QNA #12-4","LV1","2","NA","12-4",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"132","LV1 P2 QNA #15-1","LV1","2","NA","15-1",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"133","LV1 P2 QNA #15-2","LV1","2","NA","15-2",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"134","LV1 P2 QNA #17","LV1","2","NA","17",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"2.2",NA,NA,"1","V","1.34",1,0,0,0,NA
"135","LV1 P2 QNA #18","LV1","2","NA","18",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"2.4",NA,NA,"1","V","1.59",1,0,0,0,NA
"136","LV1 P2 QNA #18-1","LV1","2","NA","18-1",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"137","LV1 P2 QNA #18-3","LV1","2","NA","18-3",2017,2593,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"138","LV1 P2 QNA #19","LV1","2","NA","19",2017,2593,2017-08-08,220,NA,NA,NA,3,NA,NA,NA,"3.5",NA,NA,"1.5","B","2.2",1,0,0,0,NA
"139","LV2 P1 QNA #1","LV2","1","NA","1",2017,2500,2017-08-08,220,NA,NA,NA,NA,NA,3,1,"14.5","2","1.5",NA,"F","3.93",3,0,1,1,NA
