,site,plot,quad,ind,uniqueID.19,itero.per.19,emerg.date.19,date_25.07.2019,phen_25.07.2019,stem.diam_25.07.2019,height_25.07.2019,total.branch_25.07.2019,longest.leaf,buds_25.07.2019,flrs_25.07.2019,fruits_25.07.2019,longest.fruit_25.07.2019,herb_25.07.2019,branch.damage_25.07.2019,notes_25.07.2019,protocol.notes_25.07.2019,,date_02.08.2019,phen_02.08.2019,stem.diam_02.08.2019,height_02.08.2019,total.branch_02.08.2019,longest.leaf_02.08.2019,buds_02.08.2019,flrs_02.08.2019,fruits_02.08.2019,longest.fruit_02.08.2019,herb_02.08.2019,branch.damage_02.08.2019,notes_02.08.2019,protocol.notes_02.08.2019,,date_08.08.2019,phen_08.08.2019,stem.diam_08.08.2019,height_08.08.2019,total.branch_08.08.2019,longest.leaf_08.08.2019,buds_08.08.2019,flrs_08.08.2019,fruits_08.08.2019,longest.fruit_08.08.2019,herb_08.08.2019,branch.damage_08.08.2019,notes_08.08.2019,protocol.notes_08.08.2019,date_18.08.2019,phen_18.08.2019,stem.diam_18.08.2019,height_18.08.2019,total.branch_18.08.2019,longest.leaf_18.08.2019,buds_18.08.2019,flrs_18.08.2019,fruits_18.08.2019,longest.fruit_18.08.2019,herb_18.08.2019,branch.damage_18.08.2019,notes_18.08.2019,protocol.notes_18.08.2019,date_28.08.2019,phen_28.08.2019,stem.diam_28.08.2019,height_28.08.2019,total.branch_28.08.2019,longest.leaf_28.08.2019,buds_28.08.2019,flrs_28.08.2019,fruits_28.08.2019,longest.fruit_28.08.2019,herb_28.08.2019,branch.damage_28.08.2019,notes_28.08.2019,protocol.notes_28.08.2019,date_07.09.2019,phen_07.09.2019,stem.diam_07.09.2019,height_07.09.2019,total.branch_07.09.2019,longest.leaf_07.09.2019,buds_07.09.2019,flrs_07.09.2019,fruits_07.09.2019,longest.fruit_07.09.2019,herb_07.09.2019,branch.damage_07.09.2019,notes_07.09.2019,protocol.notes_07.09.2019,date_18.09.2019,phen_18.09.2019,stem.diam_18.09.2019,height_18.09.2019,total.branch_18.09.2019,longest.leaf_18.09.2019,buds_18.09.2019,flrs_18.09.2019,fruits_18.09.2019,longest.fruit_18.09.2019,herb_18.09.2019,branch.damage_18.09.2019,notes_18.09.2019,protocol.notes_18.09.2019,date_28.09.2019,phen_28.09.2019,stem.diam_28.09.2019,height_28.09.2019,total.branch_28.09.2019,longest.leaf_28.09.2019,buds_28.09.2019,flrs_28.09.2019,fruits_28.09.2019,longest.fruit_28.09.2019,herb_28.09.2019,branch.damage_28.09.2019,notes_28.09.2019,protocol.notes_28.09.2019,
,LVTR2.5,NA,NA,1.18,LVTR2.5 PNA QNA #1.18,N,7/26/19,7/26/19,V,1.91,3.7,3,1.5,NA,NA,NA,NA,0,0,3 VB,NA,,8/2/19,V,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8/8/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,8/18/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,8/28/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,9/7/19,V,1.84,3.6,3,1.6,NA,NA,NA,NA,0,0,NA,NA,9/18/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,9/28/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,
,LVTR2.5,NA,NA,2.18,LVTR2.5 PNA QNA #2.18,N,7/26/19,7/26/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8/2/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8/8/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/18/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/28/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/7/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/28/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,LVTR2.5,NA,NA,3.18,LVTR2.5 PNA QNA #3.18,N,7/26/19,7/26/19,F,1.38,10.2,3,NA,5,2,7,NA,2,1,broken AM (2b),NA,,8/2/19,P,NA,NA,3,NA,0,0,9,NA,2,1,AM broken (2b),NA,,8/8/19,P,NA,NA,3,NA,0,0,7,NA,0,1,AM broken,NA,8/18/19,S,NA,NA,3,NA,0,0,4,NA,0,0,NA,NA,8/28/19,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/7/19,SX,0.84,10.6,2,NA,0,0,4,5.1,0,0,NA,NA,9/18/19,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/28/19,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,LVTR2.5,NA,NA,4.18,LVTR2.5 PNA QNA #4.18,N,7/26/19,7/26/19,V,1.61,2.5,1,0.6,NA,NA,NA,NA,0,0,NA,NA,,8/2/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,,8/8/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,8/18/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,8/28/19,V,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1a,NA,9/7/19,V,1.3,3.4,1,1.1,NA,NA,NA,NA,1,0,herb 1a,NA,9/18/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,9/28/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,
,LVTR2.5,NA,NA,5.18,LVTR2.5 PNA QNA #5.18,N,7/26/19,7/26/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8/2/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8/8/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/18/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/28/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/7/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/28/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,LVTR2.5,NA,NA,6.18,LVTR2.5 PNA QNA #6.18,N,7/26/19,7/26/19,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8/2/19,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8/8/19,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/18/19,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/28/19,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/7/19,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/19,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/28/19,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,LVTR2.5,NA,NA,7.18,LVTR2.5 PNA QNA #7.18,N,7/26/19,7/26/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8/2/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8/8/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/18/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/28/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/7/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/28/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,LVTR2.5,NA,NA,8.18,LVTR2.5 PNA QNA #8.18,N,7/26/19,7/26/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8/2/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8/8/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/18/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/28/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/7/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/28/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,LVTR2.5,NA,NA,9.18,LVTR2.5 PNA QNA #9.18,N,7/26/19,7/26/19,V,1.35,2,3,0.6,NA,NA,NA,NA,0,1,broken AM,NA,,8/2/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,,8/8/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,8/18/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,8/28/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,9/7/19,V,2.31,4.2,3,1.6,NA,NA,NA,NA,0,0,NA,NA,9/18/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,9/28/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,
,LVTR2.5,NA,NA,10.18,LVTR2.5 PNA QNA #10.18,N,7/26/19,7/26/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8/2/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8/8/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/18/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/28/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/7/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/28/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,LVTR2.5,NA,NA,11.18,LVTR2.5 PNA QNA #11.18,N,7/26/19,7/26/19,V,1.82,3.2,1,1.5,NA,NA,NA,NA,0,0,NA,NA,,8/2/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,,8/8/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,8/18/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,8/28/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,9/7/19,V,1.88,4.5,1,1.5,NA,NA,NA,NA,0,0,NA,NA,9/18/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,9/28/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,
,LVTR2.5,NA,NA,12.18,LVTR2.5 PNA QNA #12.18,N,7/26/19,7/26/19,V,1.67,3.4,1,1.3,NA,NA,NA,NA,0,0,NA,NA,,8/2/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,,8/8/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,8/18/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,8/28/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,9/7/19,V,1.4,4.3,1,1.5,NA,NA,NA,NA,0,0,NA,NA,9/18/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,9/28/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,
,LVTR2.5,NA,NA,13.18,LVTR2.5 PNA QNA #13.18,N,7/26/19,7/26/19,V,1.73,3.3,1,1.6,NA,NA,NA,NA,0,0,NA,NA,,8/2/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,,8/8/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,8/18/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,8/28/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,9/7/19,V,2.3,5.2,1,1.6,NA,NA,NA,NA,1,0,herb 1a,NA,9/18/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,9/28/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,
,LVTR2.5,NA,NA,14.18,LVTR2.5 PNA QNA #14.18,N,7/26/19,7/26/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8/2/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8/8/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/18/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/28/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/7/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/28/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,LVTR2.5,NA,NA,15.18,LVTR2.5 PNA QNA #15.18,N,7/26/19,7/26/19,V,1.16,2.4,1,1.2,NA,NA,NA,NA,0,0,NA,NA,,8/2/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,,8/8/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,8/18/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,8/28/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,9/7/19,V,1.3,2.3,1,1.4,NA,NA,NA,NA,0,0,NA,NA,9/18/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,9/28/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,
,LVTR2.5,NA,NA,16.18,LVTR2.5 PNA QNA #16.18,N,7/26/19,7/26/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8/2/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8/8/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/18/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/28/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/7/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/28/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,LVTR2.5,NA,NA,17.18,LVTR2.5 PNA QNA #17.18,N,7/26/19,7/26/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8/2/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8/8/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/18/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/28/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/7/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/28/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,LVTR2.5,NA,NA,18.18,LVTR2.5 PNA QNA #18.18,N,7/26/19,7/26/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8/2/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8/8/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/18/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/28/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/7/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/28/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
